"keyfield","com_nm","sci_nm","length","tot_count"
"201811291048-302","Gray Snapper","Lutjanus griseus",154,4
"201811291048-302","Gray Snapper","Lutjanus griseus",242,4
"201811291048-302","Blue Crab","Callinectes sapidus",74,1
"201811291100-292","Gray Snapper","Lutjanus griseus",166,1
"201811291100-292","Great Barracuda","Sphyraena barracuda",188,1
"201811291305-402","Florida Stone Crab","Menippe mercenaria",16,1
"201811291320-403","Spotted Seatrout","Cynoscion nebulosus",161,1
"201811291400-401","Gray Snapper","Lutjanus griseus",156,1
"201811291400-401","Blue Crab","Callinectes sapidus",154,1
"201811291430-622","Gray Snapper","Lutjanus griseus",195,1
"201811291445-621","Spotted Seatrout","Cynoscion nebulosus",129,1
"201811291445-621","Gray Snapper","Lutjanus griseus",180,2
"201811291445-621","Gray Snapper","Lutjanus griseus",154,2
"201811291546-325","Great Barracuda","Sphyraena barracuda",217,1
"201811301050-303","Gray Snapper","Lutjanus griseus",182,3
"201811301050-303","Gray Snapper","Lutjanus griseus",125,3
"201811301050-303","Gray Snapper","Lutjanus griseus",200,3
"201811301110-256","Gray Snapper","Lutjanus griseus",145,1
"201811301200-172","Gray Snapper","Lutjanus griseus",150,6
"201811301200-172","Gray Snapper","Lutjanus griseus",88,6
"201811301200-172","Gray Snapper","Lutjanus griseus",182,6
"201811301200-172","Gray Snapper","Lutjanus griseus",119,6
"201811301200-172","Gray Snapper","Lutjanus griseus",92,6
"201811301200-172","Gray Snapper","Lutjanus griseus",96,6
"201811301200-172","Lane Snapper","Lutjanus synagris",52,1
"201811301225-158","Spotted Seatrout","Cynoscion nebulosus",110,2
"201811301225-158","Spotted Seatrout","Cynoscion nebulosus",132,2
"201811301225-158","Gray Snapper","Lutjanus griseus",85,5
"201811301225-158","Gray Snapper","Lutjanus griseus",74,5
"201811301225-158","Gray Snapper","Lutjanus griseus",98,5
"201811301225-158","Gray Snapper","Lutjanus griseus",205,5
"201811301225-158","Gray Snapper","Lutjanus griseus",85,5
"201811301225-158","Lane Snapper","Lutjanus synagris",108,19
"201811301225-158","Lane Snapper","Lutjanus synagris",103,19
"201811301225-158","Lane Snapper","Lutjanus synagris",64,19
"201811301225-158","Lane Snapper","Lutjanus synagris",116,19
"201811301225-158","Lane Snapper","Lutjanus synagris",55,19
"201811301225-158","Lane Snapper","Lutjanus synagris",53,19
"201811301225-158","Lane Snapper","Lutjanus synagris",57,19
"201811301225-158","Lane Snapper","Lutjanus synagris",75,19
"201811301225-158","Lane Snapper","Lutjanus synagris",64,19
"201811301225-158","Lane Snapper","Lutjanus synagris",54,19
"201811301225-158","Lane Snapper","Lutjanus synagris",114,19
"201811301225-158","Lane Snapper","Lutjanus synagris",58,19
"201811301225-158","Lane Snapper","Lutjanus synagris",35,19
"201811301225-158","Lane Snapper","Lutjanus synagris",54,19
"201811301225-158","Lane Snapper","Lutjanus synagris",28,19
"201811301225-158","Lane Snapper","Lutjanus synagris",62,19
"201811301225-158","Lane Snapper","Lutjanus synagris",53,19
"201811301225-158","Lane Snapper","Lutjanus synagris",64,19
"201811301225-158","Lane Snapper","Lutjanus synagris",33,19
"201811301225-158","Blue Crab","Callinectes sapidus",135,3
"201811301225-158","Blue Crab","Callinectes sapidus",95,3
"201811301225-158","Blue Crab","Callinectes sapidus",100,3
"201902050924-073","Hogchoker","Trinectes maculatus",60,3
"201902050924-073","Hogchoker","Trinectes maculatus",52,3
"201902050924-073","Hogchoker","Trinectes maculatus",48,3
"201902051026-065","Atlantic Spadefish","Chaetodipterus faber",114,2
"201902051026-065","Atlantic Spadefish","Chaetodipterus faber",80,2
"201902051104-169","Spotted Seatrout","Cynoscion nebulosus",232,1
"201902051104-169","Gray Snapper","Lutjanus griseus",54,5
"201902051104-169","Gray Snapper","Lutjanus griseus",181,5
"201902051104-169","Gray Snapper","Lutjanus griseus",189,5
"201902051104-169","Gray Snapper","Lutjanus griseus",172,5
"201902051104-169","Gray Snapper","Lutjanus griseus",172,5
"201902051104-169","Lane Snapper","Lutjanus synagris",64,2
"201902051104-169","Lane Snapper","Lutjanus synagris",68,2
"201902051132-158","Gray Snapper","Lutjanus griseus",189,2
"201902051132-158","Gray Snapper","Lutjanus griseus",191,2
"201902051132-158","Lane Snapper","Lutjanus synagris",69,1
"201902051132-158","Blue Crab","Callinectes sapidus",NA,1
"201902051337-133","Gray Snapper","Lutjanus griseus",152,4
"201902051337-133","Gray Snapper","Lutjanus griseus",206,4
"201902051337-133","Gray Snapper","Lutjanus griseus",173,4
"201902051337-133","Gray Snapper","Lutjanus griseus",171,4
"201902051337-133","Lane Snapper","Lutjanus synagris",104,3
"201902051337-133","Lane Snapper","Lutjanus synagris",66,3
"201902051337-133","Lane Snapper","Lutjanus synagris",53,3
"201902051337-133","Blue Crab","Callinectes sapidus",NA,1
"201902051347-134","Blue Crab","Callinectes sapidus",NA,1
"201902051356-159","Atlantic Spadefish","Chaetodipterus faber",138,1
"201902051356-159","Gray Snapper","Lutjanus griseus",209,1
"201902051416-147","Gray Snapper","Lutjanus griseus",169,1
"201902051416-147","Lane Snapper","Lutjanus synagris",348,1
"201902051426-135","Grass Porgy","Calamus arctifrons",92,1
"201902051426-135","Gray Snapper","Lutjanus griseus",177,2
"201902051426-135","Gray Snapper","Lutjanus griseus",185,2
"201902051426-135","Lane Snapper","Lutjanus synagris",93,5
"201902051426-135","Lane Snapper","Lutjanus synagris",112,5
"201902051426-135","Lane Snapper","Lutjanus synagris",69,5
"201902051426-135","Lane Snapper","Lutjanus synagris",78,5
"201902051426-135","Lane Snapper","Lutjanus synagris",136,5
"201902051440-123","Gray Snapper","Lutjanus griseus",196,1
"201902051440-123","Lane Snapper","Lutjanus synagris",106,2
"201902051440-123","Lane Snapper","Lutjanus synagris",120,2
"201902051440-123","Great Barracuda","Sphyraena barracuda",287,1
"201902061233-619","Gray Snapper","Lutjanus griseus",160,1
"201902061233-619","Great Barracuda","Sphyraena barracuda",291,2
"201902061233-619","Great Barracuda","Sphyraena barracuda",204,2
"201902061317-315","Gray Snapper","Lutjanus griseus",193,1
"201902070940-241","Gray Snapper","Lutjanus griseus",73,1
"201902071013-224","Gray Snapper","Lutjanus griseus",220,3
"201902071013-224","Gray Snapper","Lutjanus griseus",166,3
"201902071013-224","Gray Snapper","Lutjanus griseus",189,3
"201902071013-224","Lane Snapper","Lutjanus synagris",81,1
"201902071037-281","Gray Snapper","Lutjanus griseus",172,2
"201902071037-281","Gray Snapper","Lutjanus griseus",152,2
"201902071133-284","Great Barracuda","Sphyraena barracuda",247,1
"201902071156-257","Gray Snapper","Lutjanus griseus",172,1
"201902071238-227","Lane Snapper","Lutjanus synagris",130,1
"201902080916-278","Gray Snapper","Lutjanus griseus",199,1
"201902080916-278","Lane Snapper","Lutjanus synagris",62,1
"201902080924-265","Gray Snapper","Lutjanus griseus",185,1
"201902080951-280","Spotted Seatrout","Cynoscion nebulosus",124,1
"201902080959-267","Spotted Seatrout","Cynoscion nebulosus",92,1
"201902080959-267","Gray Snapper","Lutjanus griseus",160,1
"201903181000-143","Blue Crab","Callinectes sapidus",NA,1
"201903181010-130","Blue Crab","Callinectes sapidus",NA,1
"201903181025-118","Blue Crab","Callinectes sapidus",NA,1
"201903181050-107","Blue Crab","Callinectes sapidus",NA,1
"201903181120-023","Gray Snapper","Lutjanus griseus",96,5
"201903181120-023","Gray Snapper","Lutjanus griseus",84,5
"201903181120-023","Gray Snapper","Lutjanus griseus",201,5
"201903181120-023","Gray Snapper","Lutjanus griseus",224,5
"201903181120-023","Gray Snapper","Lutjanus griseus",173,5
"201903181120-023","Lane Snapper","Lutjanus synagris",93,2
"201903181120-023","Lane Snapper","Lutjanus synagris",84,2
"201903181120-023","Caribbean Spiny Lobster","Panulirus argus",84,2
"201903181120-023","Caribbean Spiny Lobster","Panulirus argus",64,2
"201903181155-122","Gray Snapper","Lutjanus griseus",103,2
"201903181155-122","Gray Snapper","Lutjanus griseus",98,2
"201903181155-122","Lane Snapper","Lutjanus synagris",115,3
"201903181155-122","Lane Snapper","Lutjanus synagris",112,3
"201903181155-122","Lane Snapper","Lutjanus synagris",96,3
"201903181210-123","Gray Snapper","Lutjanus griseus",143,7
"201903181210-123","Gray Snapper","Lutjanus griseus",225,7
"201903181210-123","Gray Snapper","Lutjanus griseus",152,7
"201903181210-123","Gray Snapper","Lutjanus griseus",242,7
"201903181210-123","Gray Snapper","Lutjanus griseus",160,7
"201903181210-123","Gray Snapper","Lutjanus griseus",195,7
"201903181210-123","Gray Snapper","Lutjanus griseus",182,7
"201903181210-123","Lane Snapper","Lutjanus synagris",110,3
"201903181210-123","Lane Snapper","Lutjanus synagris",73,3
"201903181210-123","Lane Snapper","Lutjanus synagris",88,3
"201903181225-124","Atlantic Bay Scallop","Argopecten irradians",70,1
"201903181225-124","Lane Snapper","Lutjanus synagris",118,2
"201903181225-124","Lane Snapper","Lutjanus synagris",93,2
"201903181445-135","Spotted Seatrout","Cynoscion nebulosus",41,1
"201903181445-135","Gray Snapper","Lutjanus griseus",93,2
"201903181445-135","Gray Snapper","Lutjanus griseus",98,2
"201903181505-147","Atlantic Spadefish","Chaetodipterus faber",155,1
"201903181505-147","Gray Snapper","Lutjanus griseus",191,1
"201903181505-147","Lane Snapper","Lutjanus synagris",140,1
"201903181515-159","Blue Crab","Callinectes sapidus",NA,1
"201903181535-146","Gray Snapper","Lutjanus griseus",165,3
"201903181535-146","Gray Snapper","Lutjanus griseus",185,3
"201903181535-146","Gray Snapper","Lutjanus griseus",154,3
"201903181535-146","Lane Snapper","Lutjanus synagris",101,5
"201903181535-146","Lane Snapper","Lutjanus synagris",84,5
"201903181535-146","Lane Snapper","Lutjanus synagris",91,5
"201903181535-146","Lane Snapper","Lutjanus synagris",122,5
"201903181535-146","Lane Snapper","Lutjanus synagris",124,5
"201903181555-134","Gray Snapper","Lutjanus griseus",210,6
"201903181555-134","Gray Snapper","Lutjanus griseus",225,6
"201903181555-134","Gray Snapper","Lutjanus griseus",185,6
"201903181555-134","Gray Snapper","Lutjanus griseus",162,6
"201903181555-134","Gray Snapper","Lutjanus griseus",174,6
"201903181555-134","Gray Snapper","Lutjanus griseus",166,6
"201903181610-133","Gray Snapper","Lutjanus griseus",123,2
"201903181610-133","Gray Snapper","Lutjanus griseus",110,2
"201903181610-133","Blue Crab","Callinectes sapidus",NA,1
"201903181705-157","Gray Snapper","Lutjanus griseus",132,3
"201903181705-157","Gray Snapper","Lutjanus griseus",96,3
"201903181705-157","Gray Snapper","Lutjanus griseus",182,3
"201903181720-168","Gray Snapper","Lutjanus griseus",209,1
"201903181740-169","Atlantic Spadefish","Chaetodipterus faber",222,1
"201903181740-169","Gray Snapper","Lutjanus griseus",233,25
"201903181740-169","Gray Snapper","Lutjanus griseus",186,25
"201903181740-169","Gray Snapper","Lutjanus griseus",238,25
"201903181740-169","Gray Snapper","Lutjanus griseus",256,25
"201903181740-169","Gray Snapper","Lutjanus griseus",243,25
"201903181740-169","Gray Snapper","Lutjanus griseus",188,25
"201903181740-169","Gray Snapper","Lutjanus griseus",206,25
"201903181740-169","Gray Snapper","Lutjanus griseus",186,25
"201903181740-169","Gray Snapper","Lutjanus griseus",205,25
"201903181740-169","Gray Snapper","Lutjanus griseus",198,25
"201903181740-169","Gray Snapper","Lutjanus griseus",236,25
"201903181740-169","Gray Snapper","Lutjanus griseus",212,25
"201903181740-169","Gray Snapper","Lutjanus griseus",175,25
"201903181740-169","Gray Snapper","Lutjanus griseus",166,25
"201903181740-169","Gray Snapper","Lutjanus griseus",184,25
"201903181740-169","Gray Snapper","Lutjanus griseus",173,25
"201903181740-169","Gray Snapper","Lutjanus griseus",198,25
"201903181740-169","Gray Snapper","Lutjanus griseus",188,25
"201903181740-169","Gray Snapper","Lutjanus griseus",233,25
"201903181740-169","Gray Snapper","Lutjanus griseus",104,25
"201903181740-169","Gray Snapper","Lutjanus griseus",119,25
"201903181740-169","Gray Snapper","Lutjanus griseus",101,25
"201903181740-169","Gray Snapper","Lutjanus griseus",200,25
"201903181740-169","Gray Snapper","Lutjanus griseus",191,25
"201903181740-169","Gray Snapper","Lutjanus griseus",129,25
"201903181740-169","Lane Snapper","Lutjanus synagris",88,4
"201903181740-169","Lane Snapper","Lutjanus synagris",95,4
"201903181740-169","Lane Snapper","Lutjanus synagris",70,4
"201903181740-169","Lane Snapper","Lutjanus synagris",91,4
"201903181815-073","Blue Crab","Callinectes sapidus",NA,1
"201903190910-237","Blue Crab","Callinectes sapidus",NA,1
"201903190940-278","Spotted Seatrout","Cynoscion nebulosus",190,1
"201903190955-279","Gray Snapper","Lutjanus griseus",216,1
"201903191005-280","Gray Snapper","Lutjanus griseus",170,1
"201903191005-280","Lane Snapper","Lutjanus synagris",84,1
"201903191005-280","Blue Crab","Callinectes sapidus",NA,1
"201903191020-281","Lane Snapper","Lutjanus synagris",82,1
"201903191030-282","Atlantic Bay Scallop","Argopecten irradians",30,1
"201903191030-282","Lined Seahorse","Hippocampus erectus",120,2
"201903191030-282","Lined Seahorse","Hippocampus erectus",75,2
"201903191045-268","Lane Snapper","Lutjanus synagris",92,1
"201903191120-257","Spotted Seatrout","Cynoscion nebulosus",100,1
"201903191150-283","Lined Seahorse","Hippocampus erectus",115,2
"201903191150-283","Lined Seahorse","Hippocampus erectus",115,2
"201903191200-294","Atlantic Bay Scallop","Argopecten irradians",28,1
"201903191225-271","Blue Crab","Callinectes sapidus",NA,1
"201903191255-244","Gray Snapper","Lutjanus griseus",168,4
"201903191255-244","Gray Snapper","Lutjanus griseus",182,4
"201903191255-244","Gray Snapper","Lutjanus griseus",193,4
"201903191255-244","Gray Snapper","Lutjanus griseus",152,4
"201903191315-243","Gray Snapper","Lutjanus griseus",162,3
"201903191315-243","Gray Snapper","Lutjanus griseus",117,3
"201903191315-243","Gray Snapper","Lutjanus griseus",103,3
"201903191335-228","Gray Snapper","Lutjanus griseus",182,1
"201903191400-227","Gray Snapper","Lutjanus griseus",165,1
"201903191410-226","Spotted Seatrout","Cynoscion nebulosus",92,1
"201903191430-225","Spotted Seatrout","Cynoscion nebulosus",160,1
"201903191430-225","Lined Seahorse","Hippocampus erectus",80,1
"201903191430-225","Gray Snapper","Lutjanus griseus",210,6
"201903191430-225","Gray Snapper","Lutjanus griseus",223,6
"201903191430-225","Gray Snapper","Lutjanus griseus",193,6
"201903191430-225","Gray Snapper","Lutjanus griseus",175,6
"201903191430-225","Gray Snapper","Lutjanus griseus",190,6
"201903191430-225","Gray Snapper","Lutjanus griseus",182,6
"201903191430-225","Lane Snapper","Lutjanus synagris",78,2
"201903191430-225","Lane Snapper","Lutjanus synagris",96,2
"201903191445-224","Gray Snapper","Lutjanus griseus",200,15
"201903191445-224","Gray Snapper","Lutjanus griseus",170,15
"201903191445-224","Gray Snapper","Lutjanus griseus",190,15
"201903191445-224","Gray Snapper","Lutjanus griseus",209,15
"201903191445-224","Gray Snapper","Lutjanus griseus",173,15
"201903191445-224","Gray Snapper","Lutjanus griseus",198,15
"201903191445-224","Gray Snapper","Lutjanus griseus",200,15
"201903191445-224","Gray Snapper","Lutjanus griseus",222,15
"201903191445-224","Gray Snapper","Lutjanus griseus",174,15
"201903191445-224","Gray Snapper","Lutjanus griseus",158,15
"201903191445-224","Gray Snapper","Lutjanus griseus",200,15
"201903191445-224","Gray Snapper","Lutjanus griseus",162,15
"201903191445-224","Gray Snapper","Lutjanus griseus",165,15
"201903191445-224","Gray Snapper","Lutjanus griseus",115,15
"201903191445-224","Gray Snapper","Lutjanus griseus",188,15
"201903191445-224","Red Drum","Sciaenops ocellatus",354,1
"201903191505-239","Spotted Seatrout","Cynoscion nebulosus",196,1
"201903191505-239","Gray Snapper","Lutjanus griseus",202,1
"201903191505-239","Blue Crab","Callinectes sapidus",NA,1
"201903191535-240","Gray Snapper","Lutjanus griseus",218,1
"201903191535-240","Lane Snapper","Lutjanus synagris",85,1
"201903191547-241","Gray Snapper","Lutjanus griseus",126,2
"201903191547-241","Gray Snapper","Lutjanus griseus",184,2
"201903191547-241","Lane Snapper","Lutjanus synagris",92,3
"201903191547-241","Lane Snapper","Lutjanus synagris",90,3
"201903191547-241","Lane Snapper","Lutjanus synagris",94,3
"201903191547-241","Blue Crab","Callinectes sapidus",NA,1
"201903191605-255","Gray Snapper","Lutjanus griseus",101,1
"201903191605-255","Lane Snapper","Lutjanus synagris",105,1
"201903191615-254","Gray Snapper","Lutjanus griseus",88,2
"201903191615-254","Gray Snapper","Lutjanus griseus",174,2
"201903191615-254","Hogchoker","Trinectes maculatus",56,2
"201903191615-254","Hogchoker","Trinectes maculatus",50,2
"201903200910-266","Spotted Seatrout","Cynoscion nebulosus",234,1
"201903200910-266","Lane Snapper","Lutjanus synagris",126,3
"201903200910-266","Lane Snapper","Lutjanus synagris",84,3
"201903200910-266","Lane Snapper","Lutjanus synagris",68,3
"201903200930-267","Gray Snapper","Lutjanus griseus",176,1
"201903201025-312","Gulf Flounder","Paralichthys albigutta",218,1
"201903201045-302","Lined Seahorse","Hippocampus erectus",120,1
"201903201130-303","Blue Crab","Callinectes sapidus",NA,1
"201905140942-237","Gray Snapper","Lutjanus griseus",191,1
"201905140942-237","Florida Stone Crab","Menippe mercenaria",NA,1
"201905141024-290","Gray Snapper","Lutjanus griseus",184,1
"201905141024-290","Florida Stone Crab","Menippe mercenaria",32,1
"201905141107-303","Atlantic Bay Scallop","Argopecten irradians",32,1
"201905141349-304","Atlantic Bay Scallop","Argopecten irradians",32,3
"201905141349-304","Atlantic Bay Scallop","Argopecten irradians",32,3
"201905141349-304","Atlantic Bay Scallop","Argopecten irradians",34,3
"201905141349-304","Gray Snapper","Lutjanus griseus",215,1
"201905150903-266","Atlantic Bay Scallop","Argopecten irradians",32,1
"201905150903-266","Spotted Seatrout","Cynoscion nebulosus",84,1
"201905150903-266","Lane Snapper","Lutjanus synagris",96,1
"201905150903-266","Caribbean Spiny Lobster","Panulirus argus",62,1
"201905150916-280","Spotted Seatrout","Cynoscion nebulosus",45,1
"201905150951-282","Lined Seahorse","Hippocampus erectus",116,1
"201905151023-256","Lined Seahorse","Hippocampus erectus",115,1
"201905151033-270","Atlantic Bay Scallop","Argopecten irradians",34,4
"201905151033-270","Atlantic Bay Scallop","Argopecten irradians",32,4
"201905151033-270","Atlantic Bay Scallop","Argopecten irradians",34,4
"201905151033-270","Atlantic Bay Scallop","Argopecten irradians",30,4
"201905151043-283","Atlantic Bay Scallop","Argopecten irradians",32,5
"201905151043-283","Atlantic Bay Scallop","Argopecten irradians",31,5
"201905151043-283","Atlantic Bay Scallop","Argopecten irradians",36,5
"201905151043-283","Atlantic Bay Scallop","Argopecten irradians",38,5
"201905151043-283","Atlantic Bay Scallop","Argopecten irradians",32,5
"201905151053-294","Atlantic Bay Scallop","Argopecten irradians",30,4
"201905151053-294","Atlantic Bay Scallop","Argopecten irradians",32,4
"201905151053-294","Atlantic Bay Scallop","Argopecten irradians",30,4
"201905151053-294","Atlantic Bay Scallop","Argopecten irradians",26,4
"201905151102-284","Atlantic Bay Scallop","Argopecten irradians",30,1
"201905151109-271","Atlantic Bay Scallop","Argopecten irradians",32,1
"201905151109-271","Lined Seahorse","Hippocampus erectus",120,1
"201905151142-244","Atlantic Bay Scallop","Argopecten irradians",40,1
"201905151142-244","Blue Crab","Callinectes sapidus",NA,1
"201905151159-242","Gray Snapper","Lutjanus griseus",210,1
"201905151159-242","Florida Stone Crab","Menippe mercenaria",100,1
"201905151211-241","Spotted Seatrout","Cynoscion nebulosus",48,3
"201905151211-241","Spotted Seatrout","Cynoscion nebulosus",54,3
"201905151211-241","Spotted Seatrout","Cynoscion nebulosus",89,3
"201905151247-228","Gray Snapper","Lutjanus griseus",121,1
"201905160847-255","Atlantic Bay Scallop","Argopecten irradians",32,2
"201905160847-255","Atlantic Bay Scallop","Argopecten irradians",48,2
"201905160909-254","Spotted Seatrout","Cynoscion nebulosus",21,1
"201905160934-240","Spotted Seatrout","Cynoscion nebulosus",71,1
"201905160946-225","Spotted Seatrout","Cynoscion nebulosus",54,1
"201905160946-225","Gray Snapper","Lutjanus griseus",188,1
"201905160956-224","Gray Snapper","Lutjanus griseus",192,6
"201905160956-224","Gray Snapper","Lutjanus griseus",171,6
"201905160956-224","Gray Snapper","Lutjanus griseus",200,6
"201905160956-224","Gray Snapper","Lutjanus griseus",234,6
"201905160956-224","Gray Snapper","Lutjanus griseus",192,6
"201905160956-224","Gray Snapper","Lutjanus griseus",129,6
"201905161012-176","Sheepshead","Archosargus probatocephalus",174,2
"201905161012-176","Sheepshead","Archosargus probatocephalus",44,2
"201905161012-176","Grass Porgy","Calamus arctifrons",84,1
"201905161012-176","Lined Seahorse","Hippocampus erectus",110,1
"201905161012-176","Gray Snapper","Lutjanus griseus",210,1
"201905161035-169","Gray Snapper","Lutjanus griseus",196,1
"201905161101-158","Gray Snapper","Lutjanus griseus",220,5
"201905161101-158","Gray Snapper","Lutjanus griseus",200,5
"201905161101-158","Gray Snapper","Lutjanus griseus",203,5
"201905161101-158","Gray Snapper","Lutjanus griseus",240,5
"201905161101-158","Gray Snapper","Lutjanus griseus",203,5
"201905161101-158","Blue Crab","Callinectes sapidus",NA,1
"201905161158-145","Gray Snapper","Lutjanus griseus",119,1
"201905161209-133","Gray Snapper","Lutjanus griseus",193,5
"201905161209-133","Gray Snapper","Lutjanus griseus",152,5
"201905161209-133","Gray Snapper","Lutjanus griseus",194,5
"201905161209-133","Gray Snapper","Lutjanus griseus",154,5
"201905161209-133","Gray Snapper","Lutjanus griseus",138,5
"201905161223-159","Spotted Seatrout","Cynoscion nebulosus",24,5
"201905161223-159","Spotted Seatrout","Cynoscion nebulosus",26,5
"201905161223-159","Spotted Seatrout","Cynoscion nebulosus",46,5
"201905161223-159","Spotted Seatrout","Cynoscion nebulosus",81,5
"201905161223-159","Spotted Seatrout","Cynoscion nebulosus",106,5
"201905161223-159","Gray Snapper","Lutjanus griseus",148,8
"201905161223-159","Gray Snapper","Lutjanus griseus",132,8
"201905161223-159","Gray Snapper","Lutjanus griseus",204,8
"201905161223-159","Gray Snapper","Lutjanus griseus",206,8
"201905161223-159","Gray Snapper","Lutjanus griseus",120,8
"201905161223-159","Gray Snapper","Lutjanus griseus",204,8
"201905161223-159","Gray Snapper","Lutjanus griseus",173,8
"201905161223-159","Gray Snapper","Lutjanus griseus",128,8
"201905161236-146","Gray Snapper","Lutjanus griseus",184,1
"201905161246-147","Gray Snapper","Lutjanus griseus",182,1
"201905161253-134","Gray Snapper","Lutjanus griseus",159,3
"201905161253-134","Gray Snapper","Lutjanus griseus",180,3
"201905161253-134","Gray Snapper","Lutjanus griseus",176,3
"201905161304-135","Gray Snapper","Lutjanus griseus",142,3
"201905161304-135","Gray Snapper","Lutjanus griseus",164,3
"201905161304-135","Gray Snapper","Lutjanus griseus",183,3
"201905161304-135","Lane Snapper","Lutjanus synagris",114,3
"201905161304-135","Lane Snapper","Lutjanus synagris",132,3
"201905161304-135","Lane Snapper","Lutjanus synagris",112,3
"201905161316-123","Lane Snapper","Lutjanus synagris",114,1
"201905170823-070","Blue Crab","Callinectes sapidus",NA,1
"201905170845-065","Atlantic Spadefish","Chaetodipterus faber",109,1
"201905170854-130","Atlantic Spadefish","Chaetodipterus faber",141,1
"201906250944-278","Spotted Seatrout","Cynoscion nebulosus",30,5
"201906250944-278","Spotted Seatrout","Cynoscion nebulosus",31,5
"201906250944-278","Spotted Seatrout","Cynoscion nebulosus",38,5
"201906250944-278","Spotted Seatrout","Cynoscion nebulosus",44,5
"201906250944-278","Spotted Seatrout","Cynoscion nebulosus",58,5
"201906250944-278","Gray Snapper","Lutjanus griseus",176,1
"201906251002-279","Spotted Seatrout","Cynoscion nebulosus",44,1
"201906251013-266","Spotted Seatrout","Cynoscion nebulosus",28,2
"201906251013-266","Spotted Seatrout","Cynoscion nebulosus",32,2
"201906251027-280","Atlantic Bay Scallop","Argopecten irradians",30,3
"201906251027-280","Atlantic Bay Scallop","Argopecten irradians",51,3
"201906251027-280","Atlantic Bay Scallop","Argopecten irradians",53,3
"201906251047-255","Atlantic Bay Scallop","Argopecten irradians",31,1
"201906251056-254","Atlantic Bay Scallop","Argopecten irradians",38,1
"201906251113-239","Gray Snapper","Lutjanus griseus",246,1
"201906251122-240","Sheepshead","Archosargus probatocephalus",76,1
"201906251122-240","Spotted Seatrout","Cynoscion nebulosus",32,3
"201906251122-240","Spotted Seatrout","Cynoscion nebulosus",44,3
"201906251122-240","Spotted Seatrout","Cynoscion nebulosus",96,3
"201906251122-240","Gray Snapper","Lutjanus griseus",205,1
"201906251133-225","Spotted Seatrout","Cynoscion nebulosus",32,1
"201906251133-225","Gray Snapper","Lutjanus griseus",33,5
"201906251133-225","Gray Snapper","Lutjanus griseus",148,5
"201906251133-225","Gray Snapper","Lutjanus griseus",211,5
"201906251133-225","Gray Snapper","Lutjanus griseus",166,5
"201906251133-225","Gray Snapper","Lutjanus griseus",204,5
"201906251146-224","Gray Snapper","Lutjanus griseus",241,2
"201906251146-224","Gray Snapper","Lutjanus griseus",196,2
"201906251232-228","Atlantic Bay Scallop","Argopecten irradians",39,2
"201906251232-228","Atlantic Bay Scallop","Argopecten irradians",36,2
"201906251240-229","Great Barracuda","Sphyraena barracuda",82,1
"201906251308-242","Caribbean Spiny Lobster","Panulirus argus",142,1
"201906251618-124","Atlantic Bay Scallop","Argopecten irradians",42,3
"201906251618-124","Atlantic Bay Scallop","Argopecten irradians",52,3
"201906251618-124","Atlantic Bay Scallop","Argopecten irradians",52,3
"201906251618-124","Spotted Seatrout","Cynoscion nebulosus",74,1
"201906251618-124","Gray Snapper","Lutjanus griseus",134,1
"201906251630-136","Atlantic Bay Scallop","Argopecten irradians",42,5
"201906251630-136","Atlantic Bay Scallop","Argopecten irradians",44,5
"201906251630-136","Atlantic Bay Scallop","Argopecten irradians",42,5
"201906251630-136","Atlantic Bay Scallop","Argopecten irradians",44,5
"201906251630-136","Atlantic Bay Scallop","Argopecten irradians",39,5
"201906251640-122","Gray Snapper","Lutjanus griseus",139,4
"201906251640-122","Gray Snapper","Lutjanus griseus",148,4
"201906251640-122","Gray Snapper","Lutjanus griseus",179,4
"201906251640-122","Gray Snapper","Lutjanus griseus",122,4
"201906251640-122","Blue Crab","Callinectes sapidus",NA,1
"201906260942-237","Grass Porgy","Calamus arctifrons",53,4
"201906260942-237","Grass Porgy","Calamus arctifrons",72,4
"201906260942-237","Grass Porgy","Calamus arctifrons",68,4
"201906260942-237","Grass Porgy","Calamus arctifrons",65,4
"201906260942-237","Gray Snapper","Lutjanus griseus",230,1
"201906261012-282","Atlantic Bay Scallop","Argopecten irradians",48,1
"201906261021-292","Spotted Seatrout","Cynoscion nebulosus",99,1
"201906261042-609","Gray Snapper","Lutjanus griseus",215,1
"201906261120-304","Atlantic Bay Scallop","Argopecten irradians",28,1
"201906261437-271","Atlantic Bay Scallop","Argopecten irradians",36,3
"201906261437-271","Atlantic Bay Scallop","Argopecten irradians",37,3
"201906261437-271","Atlantic Bay Scallop","Argopecten irradians",29,3
"201906261445-270","Spotted Seatrout","Cynoscion nebulosus",127,1
"201906261445-270","Gray Snapper","Lutjanus griseus",146,1
"201906261512-256","Atlantic Bay Scallop","Argopecten irradians",28,2
"201906261512-256","Atlantic Bay Scallop","Argopecten irradians",27,2
"201906261518-269","Atlantic Bay Scallop","Argopecten irradians",38,2
"201906261518-269","Atlantic Bay Scallop","Argopecten irradians",35,2
"201906261529-284","Atlantic Bay Scallop","Argopecten irradians",27,11
"201906261529-284","Atlantic Bay Scallop","Argopecten irradians",42,11
"201906261529-284","Atlantic Bay Scallop","Argopecten irradians",33,11
"201906261529-284","Atlantic Bay Scallop","Argopecten irradians",28,11
