"keyfield","com_nm","sci_nm","occurrence","abundance","density","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes","mean_height_Halodule","mean_height_Macroalgae","mean_height_Syringodium","mean_height_Thalassia","mean_height_Algae","mean_pc_Halodule","mean_pc_Macroalgae","mean_pc_Syringodium","mean_pc_Thalassia","mean_pc_Algae"
"201607161245-224","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"12:45",224,"S",25.09,-80.853,"7/16/2016","Rankin",NA,NA,NA,66.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.58,30.1,NA,NA,NA,NA,NA,NA,9,NA,NA,18.75,NA,17.2222222222222,34.375,0,3.88888888888889,NA
"201607161310-227","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"13:10",227,"N",25.051,-80.818,"7/16/2016","Rankin",NA,NA,NA,252.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.38,30.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4444444444444,NA,0,30,0,33.8888888888889,NA
"201607161452-241","Spotted Seatrout","Cynoscion nebulosus",1,2,0.00776457799518596,2016,7,16,"14:52",241,"S",25.075,-80.816,"7/16/2016","Rankin",NA,NA,NA,257.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,30.23,NA,NA,NA,NA,NA,NA,7.5,NA,52.5,34.375,NA,7.22222222222222,26.6666666666667,10.5555555555556,37.7777777777778,NA
"201607161429-244","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"14:29",244,"N",25.036,-80.78,"7/16/2016","Rankin",NA,NA,NA,349.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.29,30.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3333333333333,NA,0,15,0,42.7777777777778,NA
"201607161325-228","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"13:25",228,"S",25.038,-80.806,"7/16/2016","Rankin",NA,NA,NA,380.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,30.46,NA,NA,NA,NA,NA,NA,10,NA,NA,34.4444444444444,NA,3.88888888888889,NA,0,62.2222222222222,NA
"201607161404-229","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"14:04",229,"W",25.026,-80.794,"7/16/2016","Rankin",NA,NA,NA,406.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45,30.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7777777777778,NA,0,10,0,36.6666666666667,NA
"201607161417-243","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"14:17",243,"W",25.049,-80.792,"7/16/2016","Rankin",NA,NA,NA,373.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.17,30.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0,45,0,37.7777777777778,NA
"201607161556-265","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"15:56",265,"E",25.135,-80.823,"7/16/2016","Rankin",NA,NA,NA,84.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.39,31.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201607161518-255","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"15:18",255,"W",25.085,-80.802,"7/16/2016","Rankin",NA,NA,NA,156.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.64,31.28,NA,NA,NA,NA,NA,NA,17.1428571428571,NA,NA,18.3333333333333,NA,17.7777777777778,53.3333333333333,0,2.77777777777778,NA
"201607161440-242","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"14:40",242,"E",25.062,-80.804,"7/16/2016","Rankin",NA,NA,NA,209.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.16,31.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2222222222222,NA,0,23.3333333333333,0,22.7777777777778,NA
"201607161544-278","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"15:44",278,"E",25.145,-80.809,"7/16/2016","Rankin",NA,NA,NA,72.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.56,31.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.7777777777778,0,0,NA
"201607161534-267","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"15:34",267,"E",25.109,-80.799,"7/16/2016","Rankin",NA,NA,NA,104.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.72,31.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5555555555556,NA,0,11.6666666666667,0,14.4444444444444,NA
"201607161604-237","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,16,"16:04",237,"E",25.126,-80.863,"7/16/2016","Rankin",NA,NA,NA,124.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.87,31.69,NA,NA,NA,NA,NA,NA,NA,NA,70,77.5,NA,0,10,53.8888888888889,15,NA
"201607170954-070","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00477076475359,2016,7,17,"9:54",70,"S",25.132,-80.941,"7/17/2016","West",NA,NA,NA,209.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.74,29.3,NA,NA,NA,NA,NA,NA,NA,NA,82.2222222222222,NA,NA,0,NA,93.3333333333333,0,NA
"201607171028-117","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"10:28",117,"S",25.089,-80.997,"7/17/2016","West",NA,NA,NA,226.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.61,29.68,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,61.25,NA,0,10.625,46.1111111111111,20,NA
"201607171115-022","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"11:15",22,"N",25.056,-81.039,"7/17/2016","West",NA,NA,NA,208.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.28,29.69,NA,NA,NA,NA,NA,NA,NA,NA,60,78.3333333333333,NA,0,5,5,92.2222222222222,NA
"201607171055-101","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"10:55",101,"N",25.08,-81.037,"7/17/2016","West",NA,NA,NA,322.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.44,29.88,NA,NA,NA,NA,NA,NA,NA,NA,65,73.8888888888889,NA,0,6.66666666666667,5,80.5555555555556,NA
"201607171224-111","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"12:24",111,"W",25.014,-80.952,"7/17/2016","West",NA,NA,NA,353.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.52,29.93,NA,NA,NA,NA,NA,NA,NA,NA,72.7777777777778,80.8333333333333,NA,0,NA,87.2222222222222,7.22222222222222,NA
"201607171320-123","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"13:20",123,"W",25.012,-80.926,"7/17/2016","West",NA,NA,NA,321.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.48,30.24,NA,NA,NA,NA,NA,NA,15,NA,59.4444444444444,76.1111111111111,NA,2.22222222222222,NA,37.7777777777778,53.3333333333333,NA
"201607171200-105","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00283165793572136,2016,7,17,"12:00",105,"W",25.029,-80.989,"7/17/2016","West",NA,NA,NA,353.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.81,30.28,NA,NA,NA,NA,NA,NA,NA,NA,68.8888888888889,75,NA,0,NA,61.6666666666667,33.3333333333333,NA
"201607171139-023","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"11:39",23,"N",25.044,-81.027,"7/17/2016","West",NA,NA,NA,360.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.97,30.58,NA,NA,NA,NA,NA,NA,NA,NA,68.8888888888889,81.6666666666667,NA,0,5,61.6666666666667,23.8888888888889,NA
"201607171354-136","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"13:54",136,"W",25.023,-80.912,"7/17/2016","West",NA,NA,NA,373.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,30.59,NA,NA,NA,NA,NA,NA,NA,NA,65,62.2222222222222,NA,0,10,37.2222222222222,50,NA
"201607171341-137","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"13:41",137,"S",25.01,-80.9,"7/17/2016","West",NA,NA,NA,338.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.56,30.59,NA,NA,NA,NA,NA,NA,NA,NA,59.4444444444444,69.4444444444444,NA,0,0,31.6666666666667,63.3333333333333,NA
"201607171426-146","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"14:26",146,"E",25.059,-80.921,"7/17/2016","West",NA,NA,NA,354.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.75,30.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7142857142857,NA,0,9.28571428571429,0,27.2222222222222,NA
"201607171409-147","Spotted Seatrout","Cynoscion nebulosus",1,2,0.00490978274211366,2016,7,17,"14:09",147,"W",25.046,-80.91,"7/17/2016","West",NA,NA,NA,407.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.74,30.83,NA,NA,NA,NA,NA,NA,NA,NA,60.5555555555556,69.4444444444444,NA,0,12.5,25,66.6666666666667,NA
"201607171520-144","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"15:20",144,"N",25.085,-80.945,"7/17/2016","West",NA,NA,NA,260.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,31.28,NA,NA,NA,NA,NA,NA,NA,NA,71.6666666666667,89.375,NA,0,NA,83.8888888888889,7.77777777777778,NA
"201607171449-133","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00279470124643676,2016,7,17,"14:49",133,"N",25.061,-80.947,"7/17/2016","West",NA,NA,NA,357.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.84,31.29,NA,NA,NA,NA,NA,NA,NA,NA,62.5,77.2222222222222,NA,0,5,15,46.6666666666667,NA
"201607171539-158","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"15:39",158,"N",25.083,-80.919,"7/17/2016","West",NA,NA,NA,236.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.94,31.45,NA,NA,NA,NA,NA,NA,NA,NA,73.8888888888889,82.7777777777778,NA,0,NA,77.7777777777778,12.2222222222222,NA
"201607171600-168","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"16:00",168,"W",25.094,-80.905,"7/17/2016","West",NA,NA,NA,393.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,31.99,NA,NA,NA,NA,NA,NA,NA,NA,74.4444444444444,80.8333333333333,NA,0,NA,79.4444444444444,6.11111111111111,NA
"201607171617-175","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,17,"16:17",175,"S",25.115,-80.877,"7/17/2016","West",NA,NA,NA,323.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.87,32.7,NA,NA,NA,NA,NA,NA,15.7142857142857,NA,45,56.25,NA,39.4444444444444,NA,15,20.5555555555556,NA
"201607181012-303","Spotted Seatrout","Cynoscion nebulosus",1,4,0.0105946232287114,2016,7,18,"10:12",303,"W",25.103,-80.722,"7/18/2016","Crocodile",NA,NA,NA,377.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24,29.69,NA,NA,NA,NA,NA,NA,6.66666666666667,NA,NA,12.8571428571429,NA,1.66666666666667,7.85714285714286,0,5,NA
"201607181058-314","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"10:58",314,"S",25.114,-80.708,"7/18/2016","Crocodile",NA,NA,NA,462.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,29.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0,14.375,0,2.77777777777778,NA
"201607181029-304","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"10:29",304,"N",25.088,-80.713,"7/18/2016","Crocodile",NA,NA,NA,358.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.62,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5555555555556,NA,0,NA,0,46.6666666666667,NA
"201607181110-313","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"11:10",313,"S",25.126,-80.72,"7/18/2016","Crocodile",NA,NA,NA,381.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.14,30.07,NA,NA,NA,NA,NA,NA,15,NA,NA,17.2222222222222,NA,12.2222222222222,18.3333333333333,0,8.33333333333333,NA
"201607181047-315","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"10:47",315,"W",25.101,-80.696,"7/18/2016","Crocodile",NA,NA,NA,372.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.76,30.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0,50,0,21.1111111111111,NA
"201607181138-325","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"11:38",325,"W",25.112,-80.682,"7/18/2016","Crocodile",NA,NA,NA,369.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.49,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1111111111111,NA,0,NA,0,14.4444444444444,NA
"201607181149-323","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"11:49",323,"N",25.137,-80.705,"7/18/2016","Crocodile",NA,NA,NA,342.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.32,30.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8888888888889,NA,0,6.66666666666667,0,8.33333333333333,NA
"201607181204-618","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"12:04",618,"W",25.159,-80.677,"7/18/2016","Crocodile",NA,NA,NA,359.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.11,30.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.375,NA,0,5,0,5,NA
"201607181206-616","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"12:06",616,"N",25.148,-80.691,"7/18/2016","Crocodile",NA,NA,NA,399.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.15,30.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0,5,0,3.33333333333333,NA
"201607181340-407","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"13:40",407,"S",25.133,-80.654,"7/18/2016","Crocodile",NA,NA,NA,368.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.86,30.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,6.66666666666667,0,5,NA
"201607181238-622","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"12:38",622,"N",25.157,-80.651,"7/18/2016","Crocodile",NA,NA,NA,380.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.76,30.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33333333333333,NA,0,6.875,0,5.55555555555556,NA
"201607181228-621","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"12:28",621,"W",25.167,-80.664,"7/18/2016","Crocodile",NA,NA,NA,370.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.32,30.5,NA,NA,NA,NA,NA,NA,6.66666666666667,NA,NA,11.1111111111111,NA,2.22222222222222,8.57142857142857,0,9.44444444444444,NA
"201607181125-324","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"11:25",324,"E",25.124,-80.694,"7/18/2016","Crocodile",NA,NA,NA,338.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.96,30.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5555555555556,NA,0,NA,0,17.7777777777778,NA
"201607181320-401","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"13:20",401,"E",25.135,-80.68,"7/18/2016","Crocodile",NA,NA,NA,377.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.53,30.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5555555555556,NA,0,5,0,11.6666666666667,NA
"201607181307-619","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"13:07",619,"N",25.149,-80.668,"7/18/2016","Crocodile",NA,NA,NA,363.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.26,30.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42857142857143,NA,0,9.16666666666667,0,3.88888888888889,NA
"201607181406-403","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"14:06",403,"E",25.11,-80.656,"7/18/2016","Crocodile",NA,NA,NA,335.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.26,30.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88888888888889,NA,0,6.25,0,6.11111111111111,NA
"201607181329-402","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"13:29",402,"N",25.122,-80.668,"7/18/2016","Crocodile",NA,NA,NA,401.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.34,30.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88888888888889,NA,0,NA,0,7.22222222222222,NA
"201607181358-408","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"13:58",408,"N",25.12,-80.642,"7/18/2016","Crocodile",NA,NA,NA,403.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.36,30.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88888888888889,NA,0,5,0,6.11111111111111,NA
"201607181427-326","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"14:27",326,"S",25.099,-80.67,"7/18/2016","Crocodile",NA,NA,NA,362.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.72,30.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8888888888889,NA,0,5.83333333333333,0,7.77777777777778,NA
"201607181415-404","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"14:15",404,"W",25.099,-80.642,"7/18/2016","Crocodile",NA,NA,NA,282.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,31.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2222222222222,NA,0,10,0,5.55555555555556,NA
"201607181450-302","Spotted Seatrout","Cynoscion nebulosus",1,2,0.00541858574911948,2016,7,18,"14:50",302,"S",25.116,-80.734,"7/18/2016","Whipray",NA,NA,NA,369.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.34,31.11,NA,NA,NA,NA,NA,NA,NA,NA,24.1666666666667,32.2222222222222,NA,0,5,15.5555555555556,25.5555555555556,NA
"201607181440-292","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"14:40",292,"N",25.105,-80.748,"7/18/2016","Whipray",NA,NA,NA,486.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.54,31.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5555555555556,NA,0,7.5,0,16.1111111111111,NA
"201607181700-174","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"17:00",174,"S",25.128,-80.889,"7/18/2016","West",NA,NA,NA,161.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.84,31.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201607181622-280","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"16:22",280,"S",25.12,-80.785,"7/18/2016","Rankin",NA,NA,NA,142.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.57,31.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201607181500-301","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00433463372345037,2016,7,18,"15:00",301,"N",25.129,-80.745,"7/18/2016","Whipray",NA,NA,NA,230.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.55,31.26,NA,NA,NA,NA,NA,NA,18.8888888888889,NA,50,35,NA,27.2222222222222,10,2.22222222222222,44.4444444444444,NA
"201607181631-279","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"16:31",279,"S",25.133,-80.797,"7/18/2016","Rankin",NA,NA,NA,108.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.89,31.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201607181530-312","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"15:30",312,"W",25.139,-80.733,"7/18/2016","Whipray",NA,NA,NA,391.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.56,31.39,NA,NA,NA,NA,NA,NA,15,NA,NA,32.2222222222222,NA,21.6666666666667,15,0,28.3333333333333,NA
"201607181613-291","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"16:13",291,"S",25.118,-80.76,"7/18/2016","Whipray",NA,NA,NA,133.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.99,31.52,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,0.555555555555556,10,0,0,NA
"201607181606-290","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"16:06",290,"W",25.131,-80.771,"7/18/2016","Whipray",NA,NA,NA,86.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.59,31.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.66666666666667,0,0,NA
"201607181710-073","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"17:10",73,"N",25.13,-80.915,"7/18/2016","West",NA,NA,NA,136.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.67,31.9,NA,NA,NA,NA,NA,NA,NA,NA,76.1111111111111,NA,NA,0,NA,97.2222222222222,0,NA
"201607181556-609","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,18,"15:56",609,"S",25.141,-80.757,"7/18/2016","Whipray",NA,NA,NA,211.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.34,32.13,NA,NA,NA,NA,NA,NA,16.6666666666667,NA,NA,24.375,NA,19.4444444444444,8.75,0,16.6666666666667,NA
"201607190833-281","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"8:33",281,"E",25.107,-80.774,"7/19/2016","Whipray",NA,NA,NA,164.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.18,28.67,NA,NA,NA,NA,NA,NA,10,NA,NA,20,NA,7.22222222222222,NA,0,6.66666666666667,NA
"201607190901-257","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"9:01",257,"E",25.06,-80.778,"7/19/2016","Whipray",NA,NA,NA,154.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.94,28.71,NA,NA,NA,NA,NA,NA,15,NA,NA,18.75,NA,12.7777777777778,50,0,8.33333333333333,NA
"201607190857-256","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"8:57",256,"N",25.074,-80.787,"7/19/2016","Whipray",NA,NA,NA,425.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.95,29.04,NA,NA,NA,NA,NA,NA,NA,NA,50,38.8888888888889,NA,0,10,1.11111111111111,87.2222222222222,NA
"201607190912-258","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"9:12",258,"W",25.047,-80.766,"7/19/2016","Whipray",NA,NA,NA,414.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.77,29.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0,18.5714285714286,0,27.7777777777778,NA
"201607191029-268","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"10:29",268,"E",25.09653,-80.78766,"7/19/2016","Whipray",NA,NA,NA,247.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.27,29.16,NA,NA,NA,NA,NA,NA,22,NA,40,35.5555555555556,NA,11.6666666666667,10,13.8888888888889,40.5555555555556,NA
"201607190845-269","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"8:45",269,"W",25.083,-80.776,"7/19/2016","Whipray",NA,NA,NA,376.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.61,29.22,NA,NA,NA,NA,NA,NA,15,NA,30,43.3333333333333,NA,3.125,5,1.11111111111111,85.5555555555556,NA
"201607190925-271","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"9:25",271,"N",25.058,-80.752,"7/19/2016","Whipray",NA,NA,NA,380.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.12,29.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3333333333333,NA,0,57.7777777777778,0,23.3333333333333,NA
"201607190935-270","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"9:35",270,"E",25.071,-80.764,"7/19/2016","Whipray",NA,NA,NA,316.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.95,29.41,NA,NA,NA,NA,NA,NA,NA,NA,40,33.3333333333333,NA,0,7.5,0.555555555555556,85,NA
"201607191010-283","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"10:10",283,"W",25.081,-80.75,"7/19/2016","Whipray",NA,NA,NA,367.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.91,29.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0,26.6666666666667,0,76.1111111111111,NA
"201607191000-294","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"10:00",294,"W",25.078,-80.728,"7/19/2016","Whipray",NA,NA,NA,348.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.61,29.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7777777777778,NA,0,27.5,0,18.8888888888889,NA
"201607191038-071","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"10:38",71,"E",25.119,-80.929,"7/19/2016","West",NA,NA,NA,136.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,29.5,NA,NA,NA,NA,NA,NA,NA,NA,81.6666666666667,NA,NA,0,11,88.8888888888889,0,NA
"201607191018-282","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"10:18",282,"S",25.094,-80.762,"7/19/2016","Whipray",NA,NA,NA,340.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.25,29.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8888888888889,NA,0,35,0,58.3333333333333,NA
"201607190949-284","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,7,19,"9:49",284,"W",25.069,-80.738,"7/19/2016","Whipray",NA,NA,NA,371.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.63,29.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6666666666667,NA,0,43.75,0,22.2222222222222,NA
"201608131121-279","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2016,8,13,"11:21",279,"W",25.133,-80.797,"8/13/2016","Rankin",NA,NA,NA,93.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,29.91,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,1.66666666666667,65.5555555555556,0,5,NA
