"keyfield","com_nm","sci_nm","count","bulk_wt"
"201910301340-253","Spotted Seatrout","Cynoscion nebulosus",1,1.35
"201910301355-254","Spotted Seatrout","Cynoscion nebulosus",1,1.77
"201911121217-314","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"201911121217-314","Goldspotted Killifish","Floridichthys carpio",2,0.46
"201911121217-314","Mojarra Spp","Eucinostomus spp",159,60.44
"201911121305-618","Mojarra Spp","Eucinostomus spp",29,43.05
"201911121434-402","Dwarf Seahorse","Hippocampus zosterae",1,0.07
"201911121434-402","Goldspotted Killifish","Floridichthys carpio",3,1.08
"201911121434-402","Mojarra Spp","Eucinostomus spp",87,109.34
"201911121601-176","Spotted Seatrout","Cynoscion nebulosus",1,4.99
"201911121643-070","Bay Anchovy","Anchoa mitchilli",4,0.45
"201911131009-168","Bay Anchovy","Anchoa mitchilli",3,0.95
"201911131009-168","Mojarra Spp","Eucinostomus spp",4,24.83
"201911131027-145","Spotted Seatrout","Cynoscion nebulosus",1,2.24
"201911131036-133","Spotted Seatrout","Cynoscion nebulosus",1,3.8
"201911131047-146","Bay Anchovy","Anchoa mitchilli",2,0.53
"201911131047-146","Mojarra Spp","Eucinostomus spp",4,32.36
"201911131109-122","Spotted Seatrout","Cynoscion nebulosus",1,5.02
"201911131122-123","Bay Anchovy","Anchoa mitchilli",11,1.5
"201911131122-123","Fringed Filefish","Monacanthus ciliatus",1,8.46
"201911131122-123","Grunt Spp","Haemulon spp",1,0.75
"201911131122-123","Mojarra Spp","Eucinostomus spp",30,93.31
"201911131122-123","Pinfish","Lagodon rhomboides",3,47.09
"201911131122-123","Spotted Seatrout","Cynoscion nebulosus",2,0.46
"201911131122-123","White Grunt","Haemulon plumierii",8,66.85
"201911131151-040","Spotted Seatrout","Cynoscion nebulosus",2,14.33
"201911131226-022","Mojarra Spp","Eucinostomus spp",3,23.31
"201911140924-301","Code Goby","Gobiosoma robustum",1,0.34
"201911140924-301","Dwarf Seahorse","Hippocampus zosterae",4,0.25
"201911140924-301","Fringed Pipefish","Anarchopterus criniger",1,0.09
"201911140924-301","Mojarra Spp","Eucinostomus spp",25,19.43
"201911140924-301","Rainwater Killifish","Lucania parva",1,0.11
"201911141025-282","Spotted Seatrout","Cynoscion nebulosus",1,0.48
"201911141229-270","Clown Goby","Microgobius gulosus",1,0.1
"201911141229-270","Dwarf Seahorse","Hippocampus zosterae",2,0.09
"201911141229-270","Mojarra Spp","Eucinostomus spp",19,20.23
"201911141410-229","Spotted Seatrout","Cynoscion nebulosus",1,0.07
"201911141451-225","Spotted Seatrout","Cynoscion nebulosus",3,11.93
"201911150900-266","Bay Anchovy","Anchoa mitchilli",71,10.5
"201911150900-266","Code Goby","Gobiosoma robustum",3,0.27
"201911150900-266","Dusky Pipefish","Syngnathus floridae",1,0.08
"201911150900-266","Dwarf Seahorse","Hippocampus zosterae",1,0.04
"201911150900-266","Fringed Pipefish","Anarchopterus criniger",3,0.28
"201911150900-266","Lined Sole","Achirus lineatus",1,6.64
"201911150900-266","Mojarra Spp","Eucinostomus spp",15,31.79
"201911150900-266","Rainwater Killifish","Lucania parva",1,0.09
"201911150900-266","Silver Perch","Bairdiella chrysoura",2,5.28
"201911150912-265","Spotted Seatrout","Cynoscion nebulosus",1,0.08
"201911150925-278","Spotted Seatrout","Cynoscion nebulosus",2,9.74
"201911150942-279","Spotted Seatrout","Cynoscion nebulosus",1,0.07
"201911151054-241","Bay Anchovy","Anchoa mitchilli",175,22.73
"201911151054-241","Dusky Pipefish","Syngnathus floridae",1,0.15
"201911151054-241","Fringed Pipefish","Anarchopterus criniger",1,0.11
"201911151054-241","Goldspotted Killifish","Floridichthys carpio",2,0.61
"201911151054-241","Gulf Pipefish","Syngnathus scovelli",2,0.75
"201911151054-241","Mojarra Spp","Eucinostomus spp",113,187.17
"201911151054-241","Rainwater Killifish","Lucania parva",5,0.95
"201911151110-240","Spotted Seatrout","Cynoscion nebulosus",1,4.67
"201911151157-253","Spotted Seatrout","Cynoscion nebulosus",3,10.21
"202001181009-314","Mojarra Spp","Eucinostomus spp",3,0.95
"202001181246-402","Bay Anchovy","Anchoa mitchilli",12,5.47
"202001181246-402","Brotula Spp","Brotula spp",1,0.7
"202001181246-402","Clown Goby","Microgobius gulosus",9,1.7
"202001181246-402","Dwarf Seahorse","Hippocampus zosterae",1,0.08
"202001181246-402","Goby Spp","Gobiidae spp",1,0.05
"202001181246-402","Goldspotted Killifish","Floridichthys carpio",1,0.41
"202001181246-402","Mojarra Spp","Eucinostomus spp",135,207.57
"202001181408-618","Chain Pipefish","Syngnathus louisianae",1,0.48
"202001181408-618","Dwarf Seahorse","Hippocampus zosterae",1,0.1
"202001181408-618","Mojarra Spp","Eucinostomus spp",21,10.7
"202001190203-270","Dwarf Seahorse","Hippocampus zosterae",2,0.26
"202001190203-270","Mojarra Spp","Eucinostomus spp",2,1.45
"202001191022-266","Code Goby","Gobiosoma robustum",7,1.92
"202001191022-266","Fringed Pipefish","Anarchopterus criniger",2,0.35
"202001191022-266","Goldspotted Killifish","Floridichthys carpio",1,0.23
"202001191022-266","Gulf Pipefish","Syngnathus scovelli",3,1.73
"202001191022-266","Gulf Toadfish","Opsanus beta",4,13.97
"202001191022-266","Mojarra Spp","Eucinostomus spp",19,25.92
"202001191022-266","Rainwater Killifish","Lucania parva",2,0.81
"202001191022-266","Silver Perch","Bairdiella chrysoura",2,10.46
"202001191022-266","Spotted Dragonet","Diplogrammus pauciradiatus",1,0.95
"202001191216-301","Clown Goby","Microgobius gulosus",1,0.14
"202001191216-301","Code Goby","Gobiosoma robustum",1,0.3
"202001191216-301","Dwarf Seahorse","Hippocampus zosterae",3,0.23
"202001191216-301","Mojarra Spp","Eucinostomus spp",11,5.16
"202001200507-022","Grunt Spp","Haemulon spp",4,0.24
"202001200507-022","Gulf Pipefish","Syngnathus scovelli",1,0.12
"202001200507-022","Lane Snapper","Lutjanus synagris",5,15.6
"202001200507-022","Mojarra Spp","Eucinostomus spp",8,42.21
"202001200507-022","Pinfish","Lagodon rhomboides",3,13.26
"202001200507-022","Silver Perch","Bairdiella chrysoura",1,6.91
"202001200902-070","Bay Anchovy","Anchoa mitchilli",133,42.32
"202001200902-070","Bonefish","Albula vulpes",1,0.25
"202001200902-070","Clown Goby","Microgobius gulosus",1,0.09
"202001200902-070","Green Porcelain Crab","Petrolisthes armatus",1,0.34
"202001200902-070","Inshore Lizardfish","Synodus foetens",1,0.1
"202001200902-070","Mantis Shrimp","Squilla empusa",1,1.5
"202001200902-070","Mojarra Spp","Eucinostomus spp",2,11.22
"202001201002-168","Bay Anchovy","Anchoa mitchilli",10,1.06
"202001201002-168","Lane Snapper","Lutjanus synagris",1,3.69
"202001201144-159","Spotted Seatrout","Cynoscion nebulosus",2,9.28
"202001201216-134","Chain Pipefish","Syngnathus louisianae",1,0.14
"202001201250-123","Dusky Pipefish","Syngnathus floridae",4,1.25
"202001201250-123","Grunt Spp","Haemulon spp",3,0.12
"202001201250-123","Lane Snapper","Lutjanus synagris",1,3.08
"202001201250-123","Mojarra Spp","Eucinostomus spp",17,40.88
"202001201250-123","Pinfish","Lagodon rhomboides",2,0.11
"202001201250-123","Silver Perch","Bairdiella chrysoura",2,8.31
"202001201250-123","Snapper Spp","Lutjanus spp",1,0.04
"202001201250-123","White Grunt","Haemulon plumierii",2,9.4
"202001210956-241","Bay Anchovy","Anchoa mitchilli",1,0.67
"202001210956-241","Code Goby","Gobiosoma robustum",1,0.26
"202001210956-241","Gulf Pipefish","Syngnathus scovelli",1,0.35
"202001210956-241","Mojarra Spp","Eucinostomus spp",6,13.07
"202001210956-241","Rainwater Killifish","Lucania parva",1,0.35
"202006110227-070","Anchovy Spp","Anchoa spp",5,0.48
"202006110227-070","Bay Anchovy","Anchoa mitchilli",53,8.35
"202006110227-070","Bluestriped Grunt","Haemulon sciurus",3,7.93
"202006110227-070","Checkered Puffer","Sphoeroides testudineus",1,1.68
"202006110227-070","Code Goby","Gobiosoma robustum",1,0.23
"202006110227-070","Fringed Filefish","Monacanthus ciliatus",1,0.58
"202006110227-070","Gulf Pipefish","Syngnathus scovelli",30,11.16
"202006110227-070","Inshore Lizardfish","Synodus foetens",1,3.03
"202006110227-070","Mojarra Spp","Eucinostomus spp",13,53.12
"202006110227-070","Sargassum Pipefish","Syngnathus pelagicus",2,0.56
"202006110227-070","Silver Perch","Bairdiella chrysoura",10,3.1
"202006110942-266","Dwarf Seahorse","Hippocampus zosterae",1,0.1
"202006110942-266","Fringed Pipefish","Anarchopterus criniger",1,0.07
"202006110942-266","Mojarra Spp","Eucinostomus spp",8,23.86
"202006110942-266","Pinfish","Lagodon rhomboides",1,9.45
"202006110942-266","Rainwater Killifish","Lucania parva",3,0.42
"202006111231-146","Bay Anchovy","Anchoa mitchilli",1,0.74
"202006111231-146","Florida Blenny","Chasmodes saburrae",1,0.25
"202006111231-146","Grunt Spp","Haemulon spp",4,2.72
"202006111231-146","Gulf Pipefish","Syngnathus scovelli",2,0.2
"202006111231-146","Mojarra Spp","Eucinostomus spp",14,15.59
"202006111231-146","Pinfish","Lagodon rhomboides",6,39.44
"202006111231-146","Planehead Filefish","Stephanolepis hispidus",4,8.51
"202006111231-146","Rainwater Killifish","Lucania parva",1,0.08
"202006111231-146","Sea Star Spp","Asteroidea spp",1,0.56
"202006111231-146","Silver Perch","Bairdiella chrysoura",17,49.8
"202006120905-301","Fringed Pipefish","Anarchopterus criniger",2,0.04
"202006120905-301","Gulf Pipefish","Syngnathus scovelli",1,0.04
"202006120905-301","Gulf Toadfish","Opsanus beta",1,0.16
"202006120905-301","Mojarra Spp","Eucinostomus spp",12,27.94
"202006120905-301","Rainwater Killifish","Lucania parva",1,0.2
"202006121015-314","Mojarra Spp","Eucinostomus spp",57,146.89
"202006121121-618","Clown Goby","Microgobius gulosus",2,0.17
"202006121121-618","Dwarf Seahorse","Hippocampus zosterae",1,0.07
"202006121121-618","Goldspotted Killifish","Floridichthys carpio",13,3.1
"202006121121-618","Gulf Pipefish","Syngnathus scovelli",3,0.72
"202006121121-618","Mojarra Spp","Eucinostomus spp",116,99.06
"202006121242-402","Mojarra Spp","Eucinostomus spp",77,246.09
"202006130153-270","Gulf Pipefish","Syngnathus scovelli",1,0.67
"202006130153-270","Mojarra Spp","Eucinostomus spp",42,35.52
"202006130817-022","Bluestriped Grunt","Haemulon sciurus",12,72.85
"202006130817-022","Fringed Filefish","Monacanthus ciliatus",2,1.38
"202006130817-022","Fringed Pipefish","Anarchopterus criniger",2,0.18
"202006130817-022","Herring Spp","Clupeidae spp",160,9.16
"202006130817-022","Mojarra Spp","Eucinostomus spp",53,217.86
"202006130817-022","Pinfish","Lagodon rhomboides",5,26.65
"202006130817-022","Rainwater Killifish","Lucania parva",1,0.06
"202006130817-022","Silver Perch","Bairdiella chrysoura",6,7.18
"202006130817-022","Spanish Sardine","Sardinella aurita",2,0.41
"202006130817-022","White Grunt","Haemulon plumierii",2,0.79
"202006130910-123","Banded Blenny","Paraclinus fasciatus",1,0.46
"202006130910-123","Lane Snapper","Lutjanus synagris",1,1.21
"202006130910-123","Mojarra Spp","Eucinostomus spp",10,11.35
"202006130910-123","Silver Perch","Bairdiella chrysoura",1,2.24
"202006130910-123","Spanish Sardine","Sardinella aurita",28,10.54
"202006130910-123","White Grunt","Haemulon plumierii",1,4.1
"202006140817-241","Code Goby","Gobiosoma robustum",2,0.29
"202006140817-241","Dwarf Seahorse","Hippocampus zosterae",2,0.06
"202006140817-241","Goldspotted Killifish","Floridichthys carpio",1,0.14
"202006140817-241","Gulf Pipefish","Syngnathus scovelli",1,0.16
"202006140817-241","Gulf Toadfish","Opsanus beta",2,12.58
"202006140817-241","Mojarra Spp","Eucinostomus spp",26,61.5
"202006140817-241","Pinfish","Lagodon rhomboides",1,12.08
"202006140817-241","Rainwater Killifish","Lucania parva",9,1.9
"202007260151-618","Clown Goby","Microgobius gulosus",1,0.54
"202007260151-618","Dwarf Seahorse","Hippocampus zosterae",1,0.09
"202007260151-618","Goldspotted Killifish","Floridichthys carpio",5,1.88
"202007260151-618","Mojarra Spp","Eucinostomus spp",72,211.6
"202007260334-402","Goldspotted Killifish","Floridichthys carpio",2,1.17
"202007260334-402","Mojarra Spp","Eucinostomus spp",171,276.52
"202007261130-266","Bay Anchovy","Anchoa mitchilli",6,0.75
"202007261130-266","Code Goby","Gobiosoma robustum",2,0.22
"202007261130-266","Dwarf Seahorse","Hippocampus zosterae",6,0.32
"202007261130-266","Fringed Pipefish","Anarchopterus criniger",2,0.06
"202007261130-266","Goldspotted Killifish","Floridichthys carpio",10,3.79
"202007261130-266","Gulf Pipefish","Syngnathus scovelli",8,1.82
"202007261130-266","Herring Spp","Clupeidae spp",19,2.1
"202007261130-266","Mojarra Spp","Eucinostomus spp",70,114.55
"202007261130-266","Pinfish","Lagodon rhomboides",1,8.72
"202007261130-266","Rainwater Killifish","Lucania parva",20,2.62
"202007261200-301","Bay Anchovy","Anchoa mitchilli",2,0.18
"202007261200-301","Clown Goby","Microgobius gulosus",2,0.68
"202007261200-301","Dusky Pipefish","Syngnathus floridae",1,1.07
"202007261200-301","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"202007261200-301","Mojarra Spp","Eucinostomus spp",47,104.33
"202007261245-314","Mojarra Spp","Eucinostomus spp",161,270.05
"202007270342-270","Bay Anchovy","Anchoa mitchilli",1,0.34
"202007270342-270","Dwarf Seahorse","Hippocampus zosterae",2,0.25
"202007270342-270","Mojarra Spp","Eucinostomus spp",85,204.9
"202007270342-270","Pinfish","Lagodon rhomboides",1,14.07
"202007271103-241","Clown Goby","Microgobius gulosus",1,0.2
"202007271103-241","Dwarf Seahorse","Hippocampus zosterae",8,0.5
"202007271103-241","Goldspotted Killifish","Floridichthys carpio",4,1.01
"202007271103-241","Gulf Pipefish","Syngnathus scovelli",3,1.28
"202007271103-241","Mojarra Spp","Eucinostomus spp",36,52.45
"202007271103-241","Pinfish","Lagodon rhomboides",8,95.91
"202007271103-241","Rainwater Killifish","Lucania parva",67,13.03
"202007271103-241","Spotted Seatrout","Cynoscion nebulosus",1,5.38
"202007280154-022","Bay Anchovy","Anchoa mitchilli",1,0.54
"202007280154-022","Lane Snapper","Lutjanus synagris",1,0.18
"202007280725-070","Atlantic Spadefish","Chaetodipterus faber",1,2.27
"202007280725-070","Bay Anchovy","Anchoa mitchilli",29,4.32
"202007280725-070","Clown Goby","Microgobius gulosus",1,0.07
"202007280725-070","Lane Snapper","Lutjanus synagris",1,0.1
"202007280725-070","Mojarra Spp","Eucinostomus spp",14,13.68
"202007280909-168","Clown Goby","Microgobius gulosus",1,0.09
"202007280909-168","Fringed Filefish","Monacanthus ciliatus",1,3.22
"202007280909-168","Fringed Pipefish","Anarchopterus criniger",1,0.2
"202007280909-168","Gulf Pipefish","Syngnathus scovelli",1,0.17
"202007280909-168","Mojarra Spp","Eucinostomus spp",5,6.87
"202007281023-146","Bay Anchovy","Anchoa mitchilli",3,0.67
"202007281023-146","Bluestriped Grunt","Haemulon sciurus",2,20.64
"202007281023-146","Dwarf Seahorse","Hippocampus zosterae",3,0.06
"202007281023-146","Gulf Pipefish","Syngnathus scovelli",5,0.62
"202007281023-146","Mojarra Spp","Eucinostomus spp",81,212.62
"202007281023-146","Spotted Seatrout","Cynoscion nebulosus",1,0.19
"202007281023-146","Striped Burrfish","Chilomycterus schoepfi",1,2.39
"202007281051-123","Code Goby","Gobiosoma robustum",1,0.5
"202007281051-123","Dwarf Seahorse","Hippocampus zosterae",1,0.04
"202007281051-123","Florida Blenny","Chasmodes saburrae",1,0.18
"202007281051-123","Fringed Filefish","Monacanthus ciliatus",1,5.35
"202007281051-123","Fringed Pipefish","Anarchopterus criniger",3,0.2
"202007281051-123","Marbled Blenny","Paraclinus marmoratus",1,1.07
"202007281051-123","Mojarra Spp","Eucinostomus spp",16,6.38
"202007281051-123","Pinfish","Lagodon rhomboides",2,8
"202007281051-123","Rainwater Killifish","Lucania parva",11,2.19
"202007281051-123","Silver Perch","Bairdiella chrysoura",1,1.36
"202007281051-123","White Grunt","Haemulon plumierii",3,9.2
"202009090147-123","Gray Snapper","Lutjanus griseus",1,3.87
"202009090147-123","Lane Snapper","Lutjanus synagris",1,7.89
"202009090147-123","Marbled Blenny","Paraclinus marmoratus",1,1.28
"202009090147-123","Mojarra Spp","Eucinostomus spp",23,35.51
"202009090147-123","Rainwater Killifish","Lucania parva",6,0.61
"202009090147-123","Silver Perch","Bairdiella chrysoura",1,5.52
"202009090147-123","Spanish Sardine","Sardinella aurita",1,0.4
"202009090147-123","White Grunt","Haemulon plumierii",6,20.41
"202009090345-146","Dwarf Seahorse","Hippocampus zosterae",2,0.12
"202009090345-146","Florida Blenny","Chasmodes saburrae",2,5.42
"202009090345-146","Fringed Pipefish","Anarchopterus criniger",1,0.06
"202009090345-146","Gray Snapper","Lutjanus griseus",1,4.01
"202009090345-146","Gulf Pipefish","Syngnathus scovelli",8,1.73
"202009090345-146","Mojarra Spp","Eucinostomus spp",76,48.54
"202009090345-146","Silver Perch","Bairdiella chrysoura",5,22.29
"202009090345-146","Spotted Seatrout","Cynoscion nebulosus",3,1.61
"202009090345-146","White Grunt","Haemulon plumierii",2,14.99
"202009090428-168","Bay Anchovy","Anchoa mitchilli",33,5.84
"202009090428-168","Horse-Eye Jack","Caranx latus",1,5.37
"202009090428-168","Lined Sole","Achirus lineatus",1,0.11
"202009090428-168","Mojarra Spp","Eucinostomus spp",75,223.1
"202009091054-070","Bay Anchovy","Anchoa mitchilli",203,32.36
"202009091054-070","Clown Goby","Microgobius gulosus",1,0.18
"202009091054-070","Code Goby","Gobiosoma robustum",1,0.14
"202009091054-070","Great Barracuda","Sphyraena barracuda",1,0.2
"202009091054-070","Herring Spp","Clupeidae spp",2,0.11
"202009091054-070","Inshore Lizardfish","Synodus foetens",1,0.2
"202009091054-070","Mojarra Spp","Eucinostomus spp",20,51.26
"202009091054-070","Spanish Sardine","Sardinella aurita",13,4.28
"202009091054-070","Striped Burrfish","Chilomycterus schoepfi",1,0.34
"202009091239-022","Clown Goby","Microgobius gulosus",1,0.15
"202009091239-022","Lane Snapper","Lutjanus synagris",1,1.96
"202009091239-022","Mojarra Spp","Eucinostomus spp",2,5.74
"202009100153-301","Fringed Pipefish","Anarchopterus criniger",2,0.18
"202009100153-301","Gulf Toadfish","Opsanus beta",2,2.74
"202009100153-301","Mojarra Spp","Eucinostomus spp",110,277.7
"202009100153-301","Rainwater Killifish","Lucania parva",1,0.13
"202009100841-314","Goldspotted Killifish","Floridichthys carpio",3,0.49
"202009100841-314","Mojarra Spp","Eucinostomus spp",67,134.89
"202009100937-618","Clown Goby","Microgobius gulosus",1,0.16
"202009100937-618","Dwarf Seahorse","Hippocampus zosterae",1,0.07
"202009100937-618","Goldspotted Killifish","Floridichthys carpio",7,3.11
"202009100937-618","Gulf Pipefish","Syngnathus scovelli",3,0.8
"202009100937-618","Mojarra Spp","Eucinostomus spp",99,288.96
"202009101023-402","Goldspotted Killifish","Floridichthys carpio",4,1.94
"202009101023-402","Mojarra Spp","Eucinostomus spp",126,341.4
"202009110811-270","Bay Anchovy","Anchoa mitchilli",13,2.76
"202009110811-270","Fringed Pipefish","Anarchopterus criniger",1,0.13
"202009110811-270","Gulf Pipefish","Syngnathus scovelli",2,0.38
"202009110811-270","Mojarra Spp","Eucinostomus spp",62,173.57
"202009111056-241","Bay Anchovy","Anchoa mitchilli",71,8.35
"202009111056-241","Code Goby","Gobiosoma robustum",2,0.31
"202009111056-241","Dwarf Seahorse","Hippocampus zosterae",1,0.08
"202009111056-241","Goldspotted Killifish","Floridichthys carpio",2,0.31
"202009111056-241","Gulf Pipefish","Syngnathus scovelli",5,0.92
"202009111056-241","Mojarra Spp","Eucinostomus spp",50,87.63
"202009111056-241","Rainwater Killifish","Lucania parva",29,5.2
"202009120822-266","Bay Anchovy","Anchoa mitchilli",11,3.19
"202009120822-266","Code Goby","Gobiosoma robustum",3,0.47
"202009120822-266","Mojarra Spp","Eucinostomus spp",20,66.56
"202009120822-266","Pinfish","Lagodon rhomboides",2,23.63
"202009120822-266","Rainwater Killifish","Lucania parva",2,0.26
"202010280244-402","Fringed Pipefish","Anarchopterus criniger",1,0.11
"202010280244-402","Goldspotted Killifish","Floridichthys carpio",1,0.09
"202010280244-402","Mojarra Spp","Eucinostomus spp",16,14.83
"202010281149-314","Mojarra Spp","Eucinostomus spp",2,12.48
"202010281242-618","Dwarf Seahorse","Hippocampus zosterae",2,0.22
"202010281242-618","Goldspotted Killifish","Floridichthys carpio",9,5.07
"202010281242-618","Mojarra Spp","Eucinostomus spp",66,52.17
"202010290907-266","Dwarf Seahorse","Hippocampus zosterae",2,0.16
"202010290907-266","Fringed Pipefish","Anarchopterus criniger",1,0.1
"202010290907-266","Gulf Pipefish","Syngnathus scovelli",3,0.59
"202010290907-266","Mojarra Spp","Eucinostomus spp",14,22.72
"202010291017-270","Banded Blenny","Paraclinus fasciatus",1,0.23
"202010291017-270","Chain Pipefish","Syngnathus louisianae",1,0.26
"202010291017-270","Dwarf Seahorse","Hippocampus zosterae",2,0.2
"202010291017-270","Mojarra Spp","Eucinostomus spp",31,64.33
"202010291017-270","Spotted Dragonet","Diplogrammus pauciradiatus",1,0.25
"202010291127-301","Mojarra Spp","Eucinostomus spp",27,68
"202010300206-146","Bluestriped Grunt","Haemulon sciurus",2,29.46
"202010300206-146","Fringed Pipefish","Anarchopterus criniger",1,0.2
"202010300206-146","Mojarra Spp","Eucinostomus spp",9,43.55
"202010300206-146","Spotted Seatrout","Cynoscion nebulosus",1,2.01
"202010300229-168","Mojarra Spp","Eucinostomus spp",11,94.88
"202010300727-070","Bay Anchovy","Anchoa mitchilli",50,21.43
"202010300727-070","Lane Snapper","Lutjanus synagris",8,3.16
"202010300727-070","Lined Sole","Achirus lineatus",1,0.46
"202010300727-070","Mojarra Spp","Eucinostomus spp",12,19.85
"202010300727-070","Spotted Seatrout","Cynoscion nebulosus",2,6.92
"202010301137-022","Atlantic Spadefish","Chaetodipterus faber",1,11.84
"202010301137-022","Barred Hamlet","Hypoplectrus puella",2,6.93
"202010301137-022","Bay Anchovy","Anchoa mitchilli",9,4.66
"202010301137-022","Dusky Pipefish","Syngnathus floridae",2,0.73
"202010301137-022","Emerald Parrotfish","Nicholsina usta",2,9.57
"202010301137-022","Fringed Filefish","Monacanthus ciliatus",4,11.7
"202010301137-022","Grass Porgy","Calamus arctifrons",1,9.37
"202010301137-022","Gray Snapper","Lutjanus griseus",11,71.48
"202010301137-022","Lane Snapper","Lutjanus synagris",31,94.59
"202010301137-022","Lookdown","Selene vomer",1,3.75
"202010301137-022","Mojarra Spp","Eucinostomus spp",69,301.56
"202010301137-022","Pinfish","Lagodon rhomboides",1,0.42
"202010301137-022","Silver Perch","Bairdiella chrysoura",1,9.01
"202010301137-022","White Grunt","Haemulon plumierii",54,201.41
"202010301137-022","Yellowtail Snapper","Ocyurus chrysurus",1,3.4
"202010301229-123","Fringed Filefish","Monacanthus ciliatus",2,1.47
"202010301229-123","Mojarra Spp","Eucinostomus spp",4,10.42
"202010310744-241","Bay Anchovy","Anchoa mitchilli",1,0.62
"202010310744-241","Gulf Pipefish","Syngnathus scovelli",1,0.12
"202010310744-241","Gulf Toadfish","Opsanus beta",1,0.77
"202010310744-241","Mojarra Spp","Eucinostomus spp",33,59.22
"202010310744-241","Rainwater Killifish","Lucania parva",11,2.62
"202011140255-301","Banded Blenny","Paraclinus fasciatus",1,0.77
"202011140255-301","Dwarf Seahorse","Hippocampus zosterae",4,0.3
"202011140255-301","Fringed Pipefish","Anarchopterus criniger",2,0.23
"202011140255-301","Gulf Toadfish","Opsanus beta",2,1.83
"202011140255-301","Mojarra Spp","Eucinostomus spp",10,36.09
"202011141002-314","Mojarra Spp","Eucinostomus spp",1,0.19
"202011141002-314","Rainwater Killifish","Lucania parva",1,0.12
"202011141057-618","Clown Goby","Microgobius gulosus",2,0.32
"202011141057-618","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"202011141057-618","Mojarra Spp","Eucinostomus spp",15,12.82
"202011141057-618","Pupfish Spp","Cyprinodontinae spp",1,0.02
"202011141057-618","Sargassum Pipefish","Syngnathus pelagicus",1,0.04
"202011141244-402","Dwarf Seahorse","Hippocampus zosterae",2,0.08
"202011141244-402","Fringed Pipefish","Anarchopterus criniger",1,0.15
"202011141244-402","Goldspotted Killifish","Floridichthys carpio",3,0.38
"202011141244-402","Mojarra Spp","Eucinostomus spp",25,43.17
"202011150156-146","Bay Anchovy","Anchoa mitchilli",1,0.58
"202011150156-146","Fringed Pipefish","Anarchopterus criniger",1,0.21
"202011150156-146","Gray Snapper","Lutjanus griseus",6,48.55
"202011150156-146","Grunt Spp","Haemulon spp",1,0.04
"202011150156-146","Gulf Pipefish","Syngnathus scovelli",2,0.54
"202011150156-146","Inshore Lizardfish","Synodus foetens",1,2.69
"202011150156-146","Lane Snapper","Lutjanus synagris",3,7.75
"202011150156-146","Mojarra Spp","Eucinostomus spp",52,134.55
"202011150156-146","Sargassum Pipefish","Syngnathus pelagicus",8,2.05
"202011150156-146","Silver Perch","Bairdiella chrysoura",3,4.45
"202011150156-146","Spotted Seatrout","Cynoscion nebulosus",1,0.53
"202011150156-146","White Grunt","Haemulon plumierii",9,25.25
"202011150222-168","Bay Anchovy","Anchoa mitchilli",50,12.12
"202011150222-168","Blackcheek Tonguefish","Symphurus plagiusa",1,0.21
"202011150222-168","Dwarf Seahorse","Hippocampus zosterae",1,0.03
"202011150222-168","Fringed Filefish","Monacanthus ciliatus",1,0.35
"202011150222-168","Lane Snapper","Lutjanus synagris",2,5.18
"202011150222-168","Mojarra Spp","Eucinostomus spp",21,77.95
"202011150222-168","Pinfish","Lagodon rhomboides",1,7.95
"202011150222-168","White Grunt","Haemulon plumierii",1,11.61
"202011150326-266","Code Goby","Gobiosoma robustum",3,0.85
"202011150326-266","Dwarf Seahorse","Hippocampus zosterae",1,0.1
"202011150326-266","Florida Blenny","Chasmodes saburrae",1,3.04
"202011150326-266","Fringed Pipefish","Anarchopterus criniger",12,1.57
"202011150326-266","Gulf Pipefish","Syngnathus scovelli",5,1.9
"202011150326-266","Mojarra Spp","Eucinostomus spp",28,56.32
"202011150326-266","Rainwater Killifish","Lucania parva",1,0.04
"202011150326-266","Silver Perch","Bairdiella chrysoura",1,0.21
"202011150902-070","Bay Anchovy","Anchoa mitchilli",141,22.39
"202011150902-070","Drum Spp","Scienidae spp",1,0.03
"202011150902-070","Goby Spp","Gobiidae spp",1,0.02
"202011150902-070","Gulf Pipefish","Syngnathus scovelli",1,0.28
"202011150902-070","Mojarra Spp","Eucinostomus spp",7,22.96
"202011150902-070","Mud Crab Spp","Panopeidae spp",1,0.19
"202011151039-022","Bay Anchovy","Anchoa mitchilli",6,2.35
"202011151039-022","Checkered Puffer","Sphoeroides testudineus",1,3.58
"202011151039-022","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"202011151039-022","Flatback Mud Crab","Eurypanopeus depressus",1,0.09
"202011151039-022","Fringed Filefish","Monacanthus ciliatus",7,18.84
"202011151039-022","Gulf Toadfish","Opsanus beta",1,4.72
"202011151039-022","Lane Snapper","Lutjanus synagris",7,23.11
"202011151039-022","Mojarra Spp","Eucinostomus spp",35,169.99
"202011151039-022","Pinfish","Lagodon rhomboides",1,8.55
"202011151039-022","Sargassum Pipefish","Syngnathus pelagicus",2,0.91
"202011151039-022","Silver Perch","Bairdiella chrysoura",1,0.38
"202011151039-022","White Grunt","Haemulon plumierii",12,39.2
"202011151226-123","Dwarf Seahorse","Hippocampus zosterae",1,0.05
"202011151226-123","Fringed Filefish","Monacanthus ciliatus",3,8.17
