"keyfield","sport_num","stom_spec","standard","total","wt_wstom","wt_wostom","blk_wt","blk_vol","cat","cat_wt","cat_vol","food_id","food_ord","food_fam","food_count","food_wt","food_tl","food_sl","food_cl"
"202010301137-022",69,"Lutjanus griseus",74.22,86.41,10.09,9.87,0.12,0.12,"Crustacean",0.12,0.2,"Latreutes fucorum","Decapoda","Hippolytidae",1,0.03,10.91,NA,2.86
"202010301137-022",70,"Lutjanus griseus",69.86,84.92,9.87,9.39,0.038,0.038,"Crustacean",0.035,0.16,"Latreutes fucorum","Decapoda","Hippolytidae",1,0.02,10.33,NA,2.39
"202010301137-022",74,"Lutjanus griseus",59.35,71.89,5.65,5.42,0.03,0.03,"Crustacean",0.024,0.075,"Latreutes fucorum","Decapoda","Hippolytidae",1,0.006,NA,NA,2.11
"202010301137-022",75,"Lutjanus griseus",56.56,68.02,4.63,4.45,0.012,0.012,"Crustacean",0.008,0.05,"Mud crab spp","Decapoda","Panopeidae",1,0.002,NA,NA,NA
"202010301137-022",69,"Lutjanus griseus",74.22,86.41,10.09,9.87,0.12,0.12,"Crustacean",0.12,0.2,"Panopeus spp","Decapoda","Panopeidae",1,0.08,NA,NA,6.14
"202010301137-022",21,"Lutjanus synagris",35.12,40.35,0.83,0.72,0.005,0.005,"Crustacean",0.001,0.05,"Penaeid spp","Decapoda","Penaeidae",1,0.001,NA,NA,NA
"202010301137-022",54,"Calamus arctifrons",67.35,83.26,9.37,9,0.123,0.123,"Crustacean",0.041,0.06,"Penaeid spp","Decapoda","Penaeidae",1,0.041,NA,NA,NA
"202010301137-022",71,"Lutjanus griseus",75.22,89.28,11.79,11.3,0.032,0.032,"Crustacean",0.032,0.1,"Porcellanidae spp","Decapoda","Porcellanidae",1,0.032,NA,NA,NA
"202010301137-022",54,"Calamus arctifrons",67.35,83.26,9.37,9,0.123,0.123,"Mollusk",0.041,0.06,"Snail spp",NA,NA,1,0.041,NA,NA,NA
"202010301137-022",13,"Lutjanus synagris",64.96,79.36,6.19,5.81,0.028,0.028,"Crustacean",0.028,0.1,"Thor manningi","Decapoda","Thoridae",1,0.008,9.05,NA,1.93
"202010301137-022",20,"Lutjanus synagris",23.56,28.93,0.33,0.24,0.02,0.02,"Crustacean",0.02,0.1,"Thor manningi","Decapoda","Thoridae",1,0.02,10.23,NA,2.04
"202010301137-022",52,"Hypoplectrus puella",41.26,50.03,1.71,1.62,0.04,0.04,"Crustacean",0.04,0.2,"Thor manningi","Decapoda","Thoridae",1,0.009,7.56,NA,2.04
"202010301137-022",59,"Lutjanus synagris",35.86,41.48,1.21,1.01,0.038,0.038,"Crustacean",0.038,0.2,"Thor manningi","Decapoda","Thoridae",1,0.024,6.7,NA,1.79
"202010301137-022",59,"Lutjanus synagris",35.86,41.48,1.21,1.01,0.038,0.038,"Crustacean",0.038,0.2,"Thor manningi","Decapoda","Thoridae",1,0.007,4.97,NA,1.06
"202010301137-022",73,"Lutjanus griseus",58.34,69.34,5.7,5.47,0.04,0.04,"Crustacean",0.4,0.1,"Thor manningi","Decapoda","Thoridae",1,0.034,9.43,NA,2.47
"202010301137-022",80,"Lutjanus synagris",47.58,58.08,2.85,2.67,0.055,0.055,"Crustacean",0.055,0.1,"Thor manningi","Decapoda","Thoridae",1,0.012,6.93,NA,1.38
"202010301137-022",13,"Lutjanus synagris",64.96,79.36,6.19,5.81,0.028,0.028,"Crustacean",0.028,0.1,"Thor spp","Decapoda","Thoridae",1,0.011,9.88,NA,2.2
"202010301137-022",65,"Lutjanus synagris",52.46,63.05,3.5,3.14,0.18,0.18,"Crustacean",0.18,0.2,"Tozeuma carolinense","Decapoda","Hippolytidae",1,0.07,16.86,NA,3.75
"202010301137-022",14,"Lutjanus synagris",45.01,53.23,1.8,1.61,0.022,0.022,"Crustacean",0.022,0.1,"UNID",NA,NA,1,0.018,NA,NA,NA
"202010301137-022",18,"Lutjanus synagris",23.64,28.83,0.26,0.22,0.017,0.017,"Misc",0.004,0.02,"UNID",NA,NA,1,0.004,NA,NA,NA
"202010301137-022",19,"Lutjanus synagris",23.25,28.1,0.28,0.21,0.006,0.006,"Crustacean",0.004,0.03,"UNID",NA,NA,3,0.004,NA,NA,NA
"202010301137-022",19,"Lutjanus synagris",23.25,28.1,0.28,0.21,0.006,0.006,"Arthropod",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"202010301137-022",19,"Lutjanus synagris",23.25,28.1,0.28,0.21,0.006,0.006,"Misc",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"202010301137-022",54,"Calamus arctifrons",67.35,83.26,9.37,9,0.123,0.123,"Misc",0.041,0.06,"UNID",NA,NA,1,0.041,NA,NA,NA
"202010301137-022",55,"Chaetodipterus faber",56.27,68.1,11.84,11.3,0.02,0.02,"Misc",0.02,0.1,"UNID",NA,NA,1,0.02,NA,NA,NA
"202010301137-022",56,"Selene vomer",49.87,61.17,3.75,3.46,0.002,0.002,"Misc",0.002,0.025,"UNID",NA,NA,1,0.002,NA,NA,NA
"202010301137-022",63,"Lutjanus synagris",61.35,74.7,5.89,5.58,0.01,0.01,"Fish",0.005,0.1,"UNID",NA,NA,2,0.005,NA,NA,NA
"202010301137-022",63,"Lutjanus synagris",61.35,74.7,5.89,5.58,0.01,0.01,"Mollusk",0.005,0.1,"UNID",NA,NA,8,0.005,NA,NA,NA
"202010301137-022",66,"Lutjanus synagris",52.07,62.31,3.52,3.24,0.073,0.073,"Misc",0.01,0.025,"UNID",NA,NA,1,0.01,NA,NA,NA
"202010301137-022",66,"Lutjanus synagris",52.07,62.31,3.52,3.24,0.073,0.073,"Mollusk",0.007,0.025,"UNID",NA,NA,1,0.007,NA,NA,NA
"202010301137-022",68,"Lutjanus synagris",60.17,71.47,5.8,5.47,0.027,0.027,"Misc",0.008,0.025,"UNID",NA,NA,1,0.008,NA,NA,NA
"202010301137-022",70,"Lutjanus griseus",69.86,84.92,9.87,9.39,0.038,0.038,"Misc",0.003,0.04,"UNID",NA,NA,1,0.003,NA,NA,NA
"202010301137-022",16,"Lutjanus synagris",46.05,57.26,2.3,2.06,0.054,0.054,"Crustacean",0.053,0.09,"Urocaris longicaudata","Decapoda","Palaemonidae",1,0.004,12.05,NA,2.85
"202010300206-146",10,"Haemulon sciurus",86.52,108.26,14.35,13.3,0,0,NA,0,0,"Empty",NA,NA,0,0,NA,NA,NA
"202010300206-146",24,"Cynoscion nebulosus",51.95,62.49,2.01,1.75,0,0,NA,0,0,"Empty",NA,NA,0,0,NA,NA,NA
"202011151039-022",27,"Lutjanus synagris",30.49,36.43,0.76,0.65,0.033,0.033,"Crustacean",0.032,0.09,"Caridean spp","Decapoda",NA,2,0.032,NA,NA,NA
"202011151039-022",28,"Lutjanus synagris",39.25,45.86,1.43,1.28,0.025,0.025,"Crustacean",0.023,0.032,"Caridean spp","Decapoda",NA,3,0.012,NA,NA,NA
"202011151039-022",29,"Lutjanus synagris",52.24,63.49,3.57,3.29,0.028,0.028,"Crustacean",0.027,0.05,"Caridean spp","Decapoda",NA,1,0.014,NA,NA,NA
"202011151039-022",30,"Lutjanus synagris",57.31,68.01,4.52,4.14,0.1,0.1,"Crustacean",0.1,0.2,"Caridean spp","Decapoda",NA,1,0.067,NA,NA,NA
"202011151039-022",31,"Lutjanus synagris",52.03,63.37,3.53,3.3,0.03,0.03,"Crustacean",0.015,0.05,"Caridean spp","Decapoda",NA,5,0.015,NA,NA,NA
"202011151039-022",32,"Lutjanus synagris",55.59,67.3,4.25,3.87,0.11,0.11,"Crustacean",0.008,0.05,"Caridean spp","Decapoda",NA,1,0.008,NA,NA,NA
"202011151039-022",33,"Lutjanus synagris",58.78,68.25,5.05,4.75,0.032,0.032,"Crustacean",0.032,0.1,"Caridean spp","Decapoda",NA,4,0.032,NA,NA,NA
"202011151039-022",30,"Lutjanus synagris",57.31,68.01,4.52,4.14,0.1,0.1,"Crustacean",0.1,0.2,"Hippolyte spp","Decapoda","Hippolytidae",1,0.023,NA,NA,NA
"202011151039-022",27,"Lutjanus synagris",30.49,36.43,0.76,0.65,0.033,0.033,"Arthropod",0.001,0.01,"Isopod spp","Isopoda",NA,1,0.001,NA,NA,NA
"202011151039-022",28,"Lutjanus synagris",39.25,45.86,1.43,1.28,0.025,0.025,"Arthropod",0.002,0.018,"Isopod spp","Isopoda",NA,1,0.002,NA,NA,NA
"202011151039-022",31,"Lutjanus synagris",52.03,63.37,3.53,3.3,0.03,0.03,"Arthropod",0.015,0.05,"Isopod spp","Isopoda",NA,5,0.015,NA,NA,NA
"202011151039-022",28,"Lutjanus synagris",39.25,45.86,1.43,1.28,0.025,0.025,"Crustacean",0.023,0.032,"Leander tenuicornis","Decapoda","Palaemonidae",1,0.011,NA,NA,2.6
"202011151039-022",30,"Lutjanus synagris",57.31,68.01,4.52,4.14,0.1,0.1,"Crustacean",0.1,0.2,"Mud crab spp","Decapoda","Panopeidae",1,0.001,NA,NA,2.94
"202011151039-022",29,"Lutjanus synagris",52.24,63.49,3.57,3.29,0.028,0.028,"Crustacean",0.027,0.05,"Penaeid spp","Decapoda","Penaeidae",1,0.013,NA,NA,NA
"202011151039-022",29,"Lutjanus synagris",52.24,63.49,3.57,3.29,0.028,0.028,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"202011151039-022",32,"Lutjanus synagris",55.59,67.3,4.25,3.87,0.11,0.11,"Fish",0.093,0.15,"UNID",NA,NA,1,0.093,NA,NA,NA
"202011151039-022",30,"Lutjanus synagris",57.31,68.01,4.52,4.14,0.1,0.1,"Crustacean",0.1,0.2,"Urocaris longicaudata","Decapoda","Palaemonidae",1,0.009,8.44,NA,2.37
"202011150222-168",25,"Lutjanus synagris",35.22,42.62,1.18,1.01,0.037,0.037,"Crustacean",0.037,0.01,"Caridean spp","Decapoda",NA,6,0.02,NA,NA,NA
"202011150222-168",26,"Lutjanus synagris",54.19,64.72,4,3.78,0.044,0.044,"Crustacean",0.044,0.1,"Caridean spp","Decapoda",NA,21,0.04,NA,NA,NA
"202011150222-168",25,"Lutjanus synagris",35.22,42.62,1.18,1.01,0.037,0.037,"Crustacean",0.037,0.01,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.017,11.59,NA,4.87
"202011150222-168",26,"Lutjanus synagris",54.19,64.72,4,3.78,0.044,0.044,"Crustacean",0.044,0.1,"Urocaris longicaudata","Decapoda","Palaemonidae",1,0.004,9.59,NA,3.52
"202011150156-146",38,"Lutjanus griseus",59.72,69.92,5.05,4.6,0.053,0.053,"Arthropod",0.005,0.025,"Amphipod spp","Amphipoda",NA,1,0.005,3.55,NA,NA
"202011150156-146",35,"Lutjanus synagris",56.9,70.89,5.28,4.88,0.1,0.1,"Crustacean",0.1,0.2,"Caridean spp","Decapoda",NA,22,0.1,NA,NA,NA
"202011150156-146",36,"Lutjanus synagris",37.71,46.48,1.37,1.25,0.011,0.011,"Crustacean",0.011,0.05,"Caridean spp","Decapoda",NA,5,0.011,NA,NA,NA
"202011150156-146",37,"Lutjanus griseus",78.39,93.14,11.67,11.03,0.085,0.085,"Crustacean",0.085,0.2,"Caridean spp","Decapoda",NA,5,0.054,NA,NA,NA
"202011150156-146",38,"Lutjanus griseus",59.72,69.92,5.05,4.6,0.053,0.053,"Crustacean",0.048,0.075,"Caridean spp","Decapoda",NA,2,0.023,NA,NA,NA
"202011150156-146",39,"Lutjanus griseus",80.44,93.14,11.74,11.22,0.012,0.012,"Crustacean",0.01,0.075,"Caridean spp","Decapoda",NA,1,0.004,NA,NA,NA
"202011150156-146",40,"Lutjanus griseus",76.95,89.02,10.9,10.34,0.036,0.036,"Crustacean",0.036,0.2,"Caridean spp","Decapoda",NA,1,0.007,NA,NA,NA
"202011150156-146",41,"Lutjanus griseus",54.4,64.2,4.05,3.77,0.023,0.023,"Crustacean",0.023,0.1,"Caridean spp","Decapoda",NA,6,0.013,NA,NA,NA
"202011150156-146",42,"Lutjanus griseus",57.74,69.4,5.14,4.8,0.051,0.051,"Crustacean",0.051,0.05,"Caridean spp","Decapoda",NA,1,0.051,NA,NA,NA
"202011150156-146",43,"Cynoscion nebulosus",34.63,41.83,0.53,0.48,0.007,0.007,"Crustacean",0.005,0.025,"Caridean spp","Decapoda",NA,3,0.007,NA,NA,NA
"202011150156-146",44,"Lutjanus synagris",35.24,42.36,1.1,1.04,0,0,NA,0,0,"Empty",NA,NA,0,0,NA,NA,NA
"202011150156-146",40,"Lutjanus griseus",76.95,89.02,10.9,10.34,0.036,0.036,"Crustacean",0.036,0.2,"Latreutes fucorum","Decapoda","Hippolytidae",1,0.013,8.49,NA,3.18
"202011150156-146",39,"Lutjanus griseus",80.44,93.14,11.74,11.22,0.012,0.012,"Crustacean",0.01,0.075,"Periclimenes iridescens","Decapoda","Palaemonidae",1,0.006,7.64,NA,2.29
"202011150156-146",41,"Lutjanus griseus",54.4,64.2,4.05,3.77,0.023,0.023,"Crustacean",0.023,0.1,"Periclimenes iridescens","Decapoda","Palaemonidae",1,0.01,7.15,NA,2.18
"202011150156-146",38,"Lutjanus griseus",59.72,69.92,5.05,4.6,0.053,0.053,"Crustacean",0.048,0.075,"Thor manningi","Decapoda","Thoridae",1,0.025,9.35,NA,2.38
"202011150156-146",40,"Lutjanus griseus",76.95,89.02,10.9,10.34,0.036,0.036,"Crustacean",0.036,0.2,"Thor manningi","Decapoda","Thoridae",1,0.011,6.13,NA,1.83
"202011150156-146",40,"Lutjanus griseus",76.95,89.02,10.9,10.34,0.036,0.036,"Crustacean",0.036,0.2,"Thor manningi","Decapoda","Thoridae",1,0.005,4.75,NA,0.93
"202011150156-146",39,"Lutjanus griseus",80.44,93.14,11.74,11.22,0.012,0.012,"Misc",0.002,0.025,"UNID",NA,NA,1,0.002,NA,NA,NA
"202011150156-146",37,"Lutjanus griseus",78.39,93.14,11.67,11.03,0.085,0.085,"Crustacean",0.085,0.2,"Urocaris longicaudata","Decapoda","Palaemonidae",1,0.031,13.81,NA,4.58
"202105140959-022",61,"Haemulon sciurus",21.1,26.27,0.166,0.147,0.006,0.006,"Arthropoda",0.002,0.01,"Amphipod spp","Amphipoda",NA,4,0.001,NA,NA,NA
"202105140959-022",49,"Calamus arctifrons",44.75,53.63,2.594,2.48,0.011,0.011,"Miscellaneous",0.011,0.05,"Annelida spp",NA,NA,1,0.001,NA,NA,NA
"202105140959-022",61,"Haemulon sciurus",21.1,26.27,0.166,0.147,0.006,0.006,"Arthropoda",0.002,0.01,"Arthropod spp",NA,NA,5,0.001,NA,NA,NA
"202105140959-022",61,"Haemulon sciurus",21.1,26.27,0.166,0.147,0.006,0.006,"Crustacean",0.004,0.04,"Copepod spp",NA,NA,120,0.004,NA,NA,NA
"202105140959-022",49,"Calamus arctifrons",44.75,53.63,2.594,2.48,0.011,0.011,"Miscellaneous",0.011,0.05,"UNID",NA,NA,1,0.009,NA,NA,NA
"202105140959-022",50,"Calamus arctifrons",43.1,51.51,2.055,1.996,0.003,0.003,"Miscellaneous",0.003,0.05,"UNID",NA,NA,1,0.003,NA,NA,NA
"202105140959-022",51,"Calamus arctifrons",32.89,39.99,0.977,0.925,0.007,0.007,"Miscellaneous",0.007,0.05,"UNID",NA,NA,4,0.007,NA,NA,NA
"202105140138-146",48,"Calamus arctifrons",23.62,28.35,0.371,0.333,0.005,0.005,"Crustacean",0.001,0.01,"Crustacean spp",NA,NA,1,0.001,NA,NA,NA
"202105140138-146",48,"Calamus arctifrons",23.62,28.35,0.371,0.333,0.005,0.005,"Miscellaneous",0.004,0.04,"UNID",NA,NA,1,0.004,NA,NA,NA
"202106140854-241",26,"Cynoscion nebulosus",73.43,88.43,6.768,6.04,0.247,0.247,"Crustacean",0.247,0.3,"Alpheus spp","Decapoda","Alpheidae",1,0.184,NA,NA,NA
"202106140854-241",26,"Cynoscion nebulosus",73.43,88.43,6.768,6.04,0.247,0.247,"Crustacean",0.247,0.3,"Caridean spp","Decapoda",NA,4,0.069,NA,NA,NA
"202106140854-241",27,"Cynoscion nebulosus",22.17,27.3,0.154,0.14,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"202107171201-022",35,"Lutjanus synagris",23.01,27.93,0.292,0.253,0.006,0.006,"Arthropoda",0.005,0.08,"Amphipod spp","Amphipoda",NA,6,0.005,NA,NA,NA
"202107171201-022",35,"Lutjanus synagris",23.01,27.93,0.292,0.253,0.006,0.006,"Crustacean",0.001,0.01,"Caridean spp","Decapoda",NA,1,0.001,NA,NA,NA
"202107171201-022",35,"Lutjanus synagris",23.01,27.93,0.292,0.253,0.006,0.006,"Miscellaneous",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"202107170157-146",36,"Cynoscion nebulosus",38.26,46.4,0.909,0.857,0.002,0.002,"Arthropoda",0.001,0.08,"Amphipod spp","Amphipoda",NA,1,0.001,NA,NA,NA
"202107170157-146",36,"Cynoscion nebulosus",38.26,46.4,0.909,0.857,0.002,0.002,"Arthropoda",0.001,0.08,"Amphipod spp","Amphipoda",NA,1,0.001,NA,NA,NA
"202107170157-146",47,"Haemulon sciurus",22.89,28.18,0.238,0.222,0.003,0.003,"Arthropoda",0.003,0.05,"Amphipod spp","Amphipoda",NA,3,0.003,NA,NA,NA
"202107170157-146",36,"Cynoscion nebulosus",38.26,46.4,0.909,0.857,0.002,0.002,"Miscellaneous",0.001,0.02,"Eggs",NA,NA,1,0.001,NA,NA,NA
"202107190921-241",31,"Cynoscion nebulosus",31.97,40.34,0.625,0.554,0.022,0.022,"Crustacean",0.022,0.1,"Caridean spp","Decapoda",NA,3,0.022,NA,NA,NA
"202107190921-241",32,"Cynoscion nebulosus",39.59,48.11,0.896,0.828,0.006,0.006,"Crustacean",0.006,0.1,"Caridean spp","Decapoda",NA,3,0.006,NA,NA,NA
"202107190921-241",43,"Sphyraena barracuda",79.44,90.84,3.91,3.646,0.136,0.136,"Fish",0.136,0.3,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.102,20.16,16.28,NA
"202107190921-241",43,"Sphyraena barracuda",79.44,90.84,3.91,3.646,0.136,0.136,"Fish",0.136,0.3,"UNID Fish",NA,NA,1,0.036,NA,NA,NA
"202108081234-022",4,"Lutjanus synagris",44.52,54.08,2.44,2.165,0.29,0.29,"Arthropoda",0.29,0.1,"Amphipod spp","Amphipoda",NA,20,0.29,NA,NA,NA
"202108081234-022",5,"Lutjanus synagris",59.26,75.79,6.55,6.43,0.04,0.04,"Arthropoda",0.009,0.04,"Amphipod spp","Amphipoda",NA,10,0.009,NA,NA,NA
"202108081234-022",7,"Lutjanus synagris",54.75,69,4.627,4.437,0.038,0.038,"Arthropoda",0.013,0.05,"Amphipod spp","Amphipoda",NA,22,0.009,NA,NA,NA
"202108081234-022",8,"Lutjanus synagris",62.18,75.22,5.984,5.764,0.039,0.039,"Arthropoda",0.038,0.08,"Amphipod spp","Amphipoda",NA,105,0.038,NA,NA,NA
"202108081234-022",2,"Lutjanus synagris",64.66,76.92,6.69,6.16,0.21,0.21,"Crustacean",0.21,0.2,"Caridean spp","Decapoda",NA,1,0.047,NA,NA,NA
"202108081234-022",5,"Lutjanus synagris",59.26,75.79,6.55,6.43,0.04,0.04,"Crustacean",0.027,0.04,"Caridean spp","Decapoda",NA,1,0.027,NA,NA,NA
"202108081234-022",6,"Lutjanus synagris",55.24,69.35,5.21,4.94,0.056,0.056,"Crustacean",0.049,0.15,"Caridean spp","Decapoda",NA,1,0.049,NA,NA,NA
"202108081234-022",7,"Lutjanus synagris",54.75,69,4.627,4.437,0.038,0.038,"Crustacean",0.025,0.05,"Caridean spp","Decapoda",NA,1,0.025,NA,NA,NA
"202108081234-022",3,"Lutjanus synagris",59.56,73.87,5.51,5.23,0.04,0.04,"Crustacean",0.009,0.5,"Crustacean spp",NA,NA,1,0.009,NA,NA,NA
"202108081234-022",8,"Lutjanus synagris",62.18,75.22,5.984,5.764,0.039,0.039,"Crustacean",0.001,0.02,"Crustacean spp",NA,NA,1,0.001,NA,NA,NA
"202108081234-022",3,"Lutjanus synagris",59.56,73.87,5.51,5.23,0.04,0.04,"Fish",0.021,0.5,"Hippocampus zosterae","Syngnathiformes","Syngnathidae",1,0.021,16.54,NA,NA
"202108081234-022",6,"Lutjanus synagris",55.24,69.35,5.21,4.94,0.056,0.056,"Arthropoda",0.001,0.05,"Isopod spp","Isopoda",NA,1,0.001,NA,NA,NA
"202108081234-022",7,"Lutjanus synagris",54.75,69,4.627,4.437,0.038,0.038,"Arthropoda",0.013,0.05,"Isopod spp","Isopoda",NA,1,0.004,NA,NA,NA
"202108081234-022",1,"Lutjanus griseus",97.07,117.29,24.38,23.45,0.075,0.075,"Miscellaneous",0.075,0.1,NA,NA,NA,NA,0.075,NA,NA,NA
"202108081234-022",3,"Lutjanus synagris",59.56,73.87,5.51,5.23,0.04,0.04,"Miscellaneous",0.008,0.5,NA,NA,NA,1,0.008,NA,NA,NA
"202108081234-022",5,"Lutjanus synagris",59.26,75.79,6.55,6.43,0.04,0.04,"Miscellaneous",0.004,0.02,NA,NA,NA,1,0.004,NA,NA,NA
"202108081234-022",2,"Lutjanus synagris",64.66,76.92,6.69,6.16,0.21,0.21,"Crustacean",0.21,0.2,"Penaeid spp","Decapoda","Penaeidae",1,0.16,NA,NA,NA
"202108081234-022",9,"Calamus arctifrons",56.35,74.01,7.023,6.728,0.037,0.037,"Fish",0.037,0.1,"UNID Fish",NA,NA,1,0.037,NA,NA,NA
"202108080247-146",38,"Cynoscion nebulosus",28.88,35.8,0.41,0.355,0.003,0.003,"Arthropoda",0.001,0.01,"Amphipod spp","Amphipoda",NA,5,0.001,NA,NA,NA
"202108080247-146",39,"Cynoscion nebulosus",29.52,36.67,0.364,0.322,0.002,0.002,"Arthropoda",0.001,0.05,"Amphipod spp","Amphipoda",NA,3,0.001,NA,NA,NA
"202108080247-146",40,"Cynoscion nebulosus",24.72,30.6,0.247,0.21,0.004,0.004,"Arthropoda",0.001,0.02,"Amphipod spp","Amphipoda",NA,5,0.001,NA,NA,NA
"202108080247-146",41,"Cynoscion nebulosus",26.43,33.09,0.272,0.24,0.002,0.002,"Arthropoda",0.001,0.005,"Amphipod spp","Amphipoda",NA,2,0.001,NA,NA,NA
"202108080247-146",38,"Cynoscion nebulosus",28.88,35.8,0.41,0.355,0.003,0.003,"Crustacean",0.005,0.08,"Caridean spp","Decapoda",NA,5,0.005,NA,NA,NA
"202108080247-146",39,"Cynoscion nebulosus",29.52,36.67,0.364,0.322,0.002,0.002,"Crustacean",0.001,0.05,"Crustacean spp",NA,NA,3,0.001,NA,NA,NA
"202108080247-146",38,"Cynoscion nebulosus",28.88,35.8,0.41,0.355,0.003,0.003,"Miscellaneous",0.001,0.01,"Eggs",NA,NA,5,0.001,NA,NA,NA
"202108080247-146",40,"Cynoscion nebulosus",24.72,30.6,0.247,0.21,0.004,0.004,"Crustacean",0.003,0.08,"Hippolyte spp","Decapoda","Hippolytidae",1,0.003,NA,NA,NA
"202108080247-146",45,"Sphyraena barracuda",63.59,71.21,1.746,1.677,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"202108080247-146",41,"Cynoscion nebulosus",26.43,33.09,0.272,0.24,0.002,0.002,"Miscellaneous",0.001,0.005,"UNID",NA,NA,1,0.001,NA,NA,NA
"202108080217-123",30,"Lutjanus synagris",38.46,47.41,1.349,1.222,0.51,0.51,"Crustacean",0.043,0.15,"Caridean spp","Decapoda",NA,1,0.007,NA,NA,NA
"202108080217-123",30,"Lutjanus synagris",38.46,47.41,1.349,1.222,0.51,0.51,"Crustacean",0.043,0.15,"Hippolyte spp","Decapoda","Hippolytidae",1,0.012,10.17,NA,NA
"202108080217-123",30,"Lutjanus synagris",38.46,47.41,1.349,1.222,0.51,0.51,"Crustacean",0.043,0.15,"Hippolyte spp","Decapoda","Hippolytidae",1,0.012,NA,NA,NA
"202108080217-123",30,"Lutjanus synagris",38.46,47.41,1.349,1.222,0.51,0.51,"Crustacean",0.043,0.15,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.003,NA,NA,NA
"202108080217-123",30,"Lutjanus synagris",38.46,47.41,1.349,1.222,0.51,0.51,"Arthropoda",0.008,0.05,"Isopod spp","Isopoda",NA,1,0.008,NA,NA,NA
"202108080217-123",46,"Sphyraena barracuda",35.88,41.07,0.319,0.268,0.019,0.019,"Fish",0.019,0.2,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.019,NA,NA,NA
"202108100859-241",28,"Cynoscion nebulosus",36.71,46.23,0.879,0.802,0.006,0.006,"Crustacean",0.006,0.1,"Caridean spp","Decapoda",NA,2,0.006,NA,NA,NA
"202108100859-241",44,"Sphyraena barracuda",72.24,83.37,2.706,2.665,0.011,0.011,"Fish",0.011,0.1,"UNID Fish",NA,NA,1,0.011,NA,NA,NA
"202109111530-070",24,"Lutjanus synagris",37.49,45.72,1.331,1.263,0.001,0.001,"Crustacean",0.001,0.1,"Caridean spp","Decapoda",NA,3,0.001,NA,NA,NA
"202109111530-070",23,"Lutjanus synagris",60.05,72.84,5.83,5.18,0.15,0.15,"Crustacean",0.028,0.1,"Penaeid spp","Decapoda","Penaeidae",1,0.028,NA,NA,NA
"202109111530-070",23,"Lutjanus synagris",60.05,72.84,5.83,5.18,0.15,0.15,"Fish",0.12,0.3,"UNID Fish",NA,NA,1,0.12,NA,NA,NA
"202109141006-123",21,"Haemulon sciurus",64.94,78.75,7.28,6.87,0.006,0.006,"Arthropoda",0.006,0.05,"Amphipod spp","Amphipoda",NA,7,0.005,NA,NA,NA
"202109141006-123",21,"Haemulon sciurus",64.94,78.75,7.28,6.87,0.006,0.006,"Arthropoda",0.006,0.05,"Copepod spp",NA,NA,16,0.001,NA,NA,NA
"202109141006-123",42,"Cynoscion nebulosus",10.22,12.55,0.008,0.008,0.001,0.001,"Crustacean",0.001,0.05,"Crustacean spp",NA,NA,11,0.001,NA,NA,NA
"202109141006-123",42,"Cynoscion nebulosus",10.22,12.55,0.008,0.008,0.001,0.001,"Miscellaneous",0.001,0.05,"UNID",NA,NA,2,0.001,NA,NA,NA
"202109141148-146",33,"Lutjanus synagris",50.66,62.28,3.464,3.275,0.01,0.01,"Arthropoda",0.02,0.02,"Amphipod spp","Amphipoda",NA,1,0.002,NA,NA,NA
"202109141148-146",37,"Cynoscion nebulosus",19.55,23.88,0.132,0.105,0.004,0.004,"Arthropoda",0.001,0.02,"Amphipod spp","Amphipoda",NA,1,0.001,NA,NA,NA
"202109141148-146",22,"Lutjanus synagris",57.83,70.03,5.133,4.822,0.014,0.014,"Crustacean",0.07,0.5,"Caridean spp","Decapoda",NA,1,0.07,NA,NA,NA
"202109141148-146",34,"Cynoscion nebulosus",40.98,50.09,1.158,1.015,0.022,0.022,"Crustacean",0.022,0.1,"Caridean spp","Decapoda",NA,1,0.06,NA,NA,NA
"202109141148-146",25,"Lutjanus synagris",50.46,60.64,3.228,3.138,0.022,0.022,"Fish",0.018,0.15,"Hippocampus zosterae","Syngnathiformes","Syngnathidae",1,0.006,NA,NA,NA
"202109141148-146",29,"Cynoscion nebulosus",43.57,52.8,1.45,1.268,0.065,0.065,"Crustacean",0.065,0.2,"Hippolyte spp","Decapoda","Hippolytidae",1,0.017,NA,NA,NA
"202109141148-146",29,"Cynoscion nebulosus",43.57,52.8,1.45,1.268,0.065,0.065,"Crustacean",0.065,0.2,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.031,12.32,NA,2.53
"202109141148-146",29,"Cynoscion nebulosus",43.57,52.8,1.45,1.268,0.065,0.065,"Crustacean",0.065,0.2,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.009,10.28,NA,1.94
